ID_1,NAME_1,VARNAME_1,AVGPOPULATION
23,Hà Nội,Ha Noi City|Hanoi,8.2466e6
62,Vĩnh Phúc,Vinh Phuc,1.1712e6
16,Bắc Ninh,Bac Ninh,1.4191e6
49,Quảng Ninh,Quang Ninh,1.3376e6
29,Hải Dương,Hai Duong,1.9168e6
30,Hải Phòng,Hai Phong City|Haiphong,2.0535e6
28,Hưng Yên,Hung Yen,1.2691e6
54,Thái Bình,Thai Binh,1.8703e6
24,Hà Nam,Ha Nam,861800.0
40,Nam Định,Nam Dinh,1.7803e6
42,Ninh Bình,Ninh Binh,993900.0
22,Hà Giang,Ha Giang,870200.0
19,Cao Bằng,Cao Bang,533100.0
15,Bắc Kạn,Bac Kan|Bac Can,316500.0
60,Tuyên Quang,Tuyen Quang,792900.0
35,Lào Cai,Lao Cai,746400.0
63,Yên Bái,Yen Bai,831600.0
55,Thái Nguyên,Thai Nguyen,1.3079e6
38,Lạng Sơn,Lang Son,788700.0
14,Bắc Giang,Bac Giang,1.8416e6
44,Phú Thọ,Phu Tho,1.4819e6
6,Điện Biên,Dien Bien,613500.0
37,Lai Châu,Lai Chau,469800.0
52,Sơn La,Son La,1.2706e6
27,Hòa Bình,Hoa Binh,861200.0
57,Thanh Hóa,Thanh Hoa,3.6649e6
41,Nghệ An,Nghe An,3.3652e6
25,Hà Tĩnh,Ha Tinh,1.2966e6
46,Quảng Bình,Quang Binh,902000.0
50,Quảng Trị,Quang Tri,637300.0
56,Thừa Thiên - Huế,Thua Thien - Hue,1.1337e6
1,Đà Nẵng,Da Nang City|Da Nang,1.1695e6
47,Quảng Nam,Quang Nam,1.505e6
48,Quảng Ngãi,Quang Ngai,1.2334e6
9,Bình Định,Binh Dinh,1.4879e6
45,Phú Yên,Phu Yen,874300.0
32,Khánh Hòa,Khanh Hoa,1.2404e6
43,Ninh Thuận,Ninh Thuan,593600.0
12,Bình Thuận,Binh Thuan,1.2393e6
34,Kon Tum,Kon Tum,555600.0
21,Gia Lai,Gia Lai,1.5418e6
5,Đắk Lắk,Dak Lak|Dac Lac,1.8869e6
4,Đăk Nông,Dac Nong,637900.0
36,Lâm Đồng,Lam Dong,1.3098e6
11,Bình Phước,Binh Phuoc,1.0111e6
53,Tây Ninh,Tay Ninh,1.1783e6
10,Bình Dương,Binh Duong,2.5806e6
2,Đồng Nai,Dong Nai,3.1774e6
8,Bà Rịa - Vũng Tàu,Ba Ria - VTau|Ba Ria-Vung Tau,1.1679e6
26,Hồ Chí Minh city,Ho Chi Minh City|Ho Chi Minh,9.2276e6
39,Long An,Long An,1.7137e6
58,Tiền Giang,Tien Giang,1.7725e6
17,Bến Tre,Ben Tre,1.2924e6
59,Trà Vinh,Tra Vinh,1.0099e6
61,Vĩnh Long,Vinh Long,1.023e6
3,Đồng Tháp,Dong Thap,1.6e6
7,An Giang,An Giang,1.9045e6
33,Kiên Giang,Kien Giang,1.7289e6
20,Cần Thơ,Can Tho,1.2407e6
31,Hậu Giang,Hau Giang,729800.0
51,Sóc Trăng,Soc Trang,1.1957e6
13,Bạc Liêu,Bac Lieu,913500.0
18,Cà Mau,Ca Mau,1.1939e6
