ds,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2020-03-01,0.07988,0.16351
2020-03-02,0.01968,0.13222
2020-03-03,0.0353,0.12502
2020-03-04,0.04365,0.12362
2020-03-05,0.03349,0.12576
2020-03-06,0.0108,0.12643
2020-03-07,0.04535,0.1489
2020-03-08,0.05608,0.16661
2020-03-09,0.01085,0.14182
2020-03-10,-0.00031,0.13456
2020-03-11,0.00575,0.13439
2020-03-12,0.01143,0.13051
2020-03-13,-0.01128,0.12816
2020-03-14,-0.08929,0.18963
2020-03-15,-0.14465,0.23734
2020-03-16,-0.13768,0.19256
2020-03-17,-0.20918,0.21208
2020-03-18,-0.281,0.26269
2020-03-19,-0.3038,0.26777
2020-03-20,-0.29948,0.25414
2020-03-21,-0.3681,0.32275
2020-03-22,-0.55133,0.46614
2020-03-23,-0.4532,0.36068
2020-03-24,-0.41982,0.3384
2020-03-25,-0.38705,0.30915
2020-03-26,-0.42531,0.34419
2020-03-27,-0.43519,0.33031
2020-03-28,-0.46982,0.3781
2020-03-29,-0.51331,0.43094
2020-03-30,-0.41838,0.33529
2020-03-31,-0.42262,0.34622
2020-04-01,-0.39069,0.31873
2020-04-02,-0.39446,0.31827
2020-04-03,-0.38048,0.29297
2020-04-04,-0.43603,0.36219
2020-04-05,-0.46893,0.39981
2020-04-06,-0.40798,0.33351
2020-04-07,-0.38046,0.31243
2020-04-08,-0.39882,0.32979
2020-04-09,-0.41221,0.34436
2020-04-10,-0.42229,0.32812
2020-04-11,-0.41067,0.34466
2020-04-12,-0.48891,0.40466
2020-04-13,-0.42249,0.34696
2020-04-14,-0.41158,0.34784
2020-04-15,-0.40301,0.3499
2020-04-16,-0.37388,0.32711
2020-04-17,-0.4364,0.34637
2020-04-18,-0.36481,0.3282
2020-04-19,-0.40094,0.36555
2020-04-20,-0.3477,0.30724
2020-04-21,-0.36226,0.32437
2020-04-22,-0.37238,0.32945
2020-04-23,-0.37472,0.32681
2020-04-24,-0.37737,0.31359
2020-04-25,-0.41478,0.37095
2020-04-26,-0.38032,0.3576
2020-04-27,-0.34761,0.31348
2020-04-28,-0.33737,0.30484
2020-04-29,-0.39968,0.35429
2020-04-30,-0.3523,0.31485
2020-05-01,-0.28441,0.26227
2020-05-02,-0.24415,0.27709
2020-05-03,-0.29675,0.3194
