ds,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2021-01-01,-0.5119,0.3801
2021-01-02,-0.27328,0.28767
2021-01-03,-0.28522,0.32218
2021-01-04,-0.22093,0.2479
2021-01-05,-0.21189,0.23993
2021-01-06,-0.21196,0.23923
2021-01-07,-0.22305,0.24049
2021-01-08,-0.22791,0.23062
2021-01-09,-0.17947,0.24456
2021-01-10,-0.25012,0.2995
2021-01-11,-0.23404,0.25124
2021-01-12,-0.21354,0.2398
2021-01-13,-0.21565,0.23448
2021-01-14,-0.21278,0.23407
2021-01-15,-0.22248,0.22486
2021-01-16,-0.21031,0.25814
2021-01-17,-0.26704,0.31058
2021-01-18,-0.24429,0.2545
2021-01-19,-0.22323,0.2448
2021-01-20,-0.22151,0.25158
2021-01-21,-0.1927,0.22473
2021-01-22,-0.21516,0.22858
2021-01-23,-0.17963,0.24643
2021-01-24,-0.25276,0.29829
2021-01-25,-0.22022,0.23975
2021-01-26,-0.32334,0.31374
2021-01-27,-0.23922,0.2569
2021-01-28,-0.21048,0.24075
2021-01-29,-0.19196,0.21684
2021-01-30,-0.17909,0.24617
2021-01-31,-0.41994,0.43137
2021-02-01,-0.24218,0.27103
2021-02-02,-0.20425,0.24614
2021-02-03,-0.17023,0.22259
2021-02-04,-0.20694,0.2441
2021-02-05,-0.22383,0.25589
2021-02-06,-0.22448,0.28517
2021-02-07,-0.30886,0.34974
2021-02-08,-0.22671,0.27019
2021-02-09,-0.21486,0.25778
2021-02-10,-0.21393,0.25029
2021-02-11,-0.20617,0.24676
2021-02-12,-0.19065,0.22754
2021-02-13,-0.18654,0.27993
2021-02-14,-0.257,0.3332
2021-02-15,-0.26478,0.32453
2021-02-16,-0.3823,0.379
2021-02-17,-0.19886,0.26257
2021-02-18,-0.19551,0.2531
2021-02-19,-0.18673,0.22795
2021-02-20,-0.15003,0.24525
2021-02-21,-0.24434,0.30824
2021-02-22,-0.21157,0.25031
2021-02-23,-0.17376,0.22439
2021-02-24,-0.169,0.22355
2021-02-25,-0.16323,0.21805
2021-02-26,-0.15452,0.20233
2021-02-27,-0.07446,0.20914
2021-02-28,-0.17442,0.26875
2021-03-01,-0.17576,0.22189
2021-03-02,-0.16251,0.21568
2021-03-03,-0.13615,0.20174
2021-03-04,-0.14845,0.20949
2021-03-05,-0.13749,0.1921
2021-03-06,-0.07846,0.2082
2021-03-07,-0.12126,0.24386
2021-03-08,-0.13384,0.1992
2021-03-09,-0.12012,0.19271
2021-03-10,-0.14344,0.20454
2021-03-11,-0.13068,0.19737
2021-03-12,-0.11783,0.18915
2021-03-13,-0.03924,0.19321
2021-03-14,-0.13707,0.25267
2021-03-15,-0.18955,0.2435
2021-03-16,-0.16624,0.22081
2021-03-17,-0.11605,0.20654
2021-03-18,-0.1486,0.21808
2021-03-19,-0.09692,0.18461
2021-03-20,-0.00214,0.18682
2021-03-21,-0.00724,0.21188
2021-03-22,-0.08254,0.18723
2021-03-23,-0.11987,0.20629
2021-03-24,-0.11069,0.19831
2021-03-25,-0.11139,0.19895
2021-03-26,-0.11434,0.19053
2021-03-27,-0.02668,0.19366
2021-03-28,-0.0753,0.23676
2021-03-29,-0.08082,0.19108
2021-03-30,-0.08087,0.18862
2021-03-31,-0.09343,0.19728
2021-04-01,-0.07145,0.19123
2021-04-02,-0.08132,0.1807
2021-04-03,-0.00103,0.17789
2021-04-04,-0.03897,0.20773
2021-04-05,-0.07418,0.1856
2021-04-06,-0.04409,0.17522
2021-04-07,-0.0471,0.17428
2021-04-08,-0.09188,0.20165
2021-04-09,-0.08794,0.17849
2021-04-10,-0.06347,0.20912
2021-04-11,-0.08835,0.23474
2021-04-12,-0.07958,0.18709
2021-04-13,-0.07896,0.18719
2021-04-14,-0.08951,0.19208
2021-04-15,-0.08725,0.19183
2021-04-16,-0.06772,0.17461
2021-04-17,-0.01198,0.19138
2021-04-18,-0.03825,0.2219
2021-04-19,-0.09597,0.20277
2021-04-20,-0.12405,0.21032
2021-04-21,-0.10584,0.19973
2021-04-22,-0.06455,0.18497
2021-04-23,-0.05397,0.17305
2021-04-24,-0.02596,0.19379
2021-04-25,-0.03904,0.22556
2021-04-26,-0.04479,0.18087
2021-04-27,-0.01991,0.16904
2021-04-28,-0.07308,0.19582
2021-04-29,-0.07168,0.19006
2021-04-30,-0.02,0.16749
2021-05-01,0.04517,0.17442
2021-05-02,0.05281,0.19643
2021-05-03,-0.05361,0.18219
2021-05-04,-0.08082,0.19402
2021-05-05,-0.04368,0.17687
2021-05-06,-0.05671,0.18503
2021-05-07,-0.02532,0.16511
2021-05-08,0.05814,0.17405
2021-05-09,-0.02965,0.21299
2021-05-10,-0.04428,0.18463
2021-05-11,-0.05518,0.18299
2021-05-12,-0.03911,0.17753
2021-05-13,-0.01464,0.16949
2021-05-14,-0.00862,0.15907
2021-05-15,0.00945,0.18889
2021-05-16,0.02112,0.20207
2021-05-17,-0.04327,0.18087
2021-05-18,-0.04755,0.18154
2021-05-19,-0.05812,0.18122
2021-05-20,-0.00529,0.16525
2021-05-21,0.0082,0.15562
2021-05-22,0.07038,0.16969
2021-05-23,0.04413,0.19863
2021-05-24,-0.02575,0.17585
2021-05-25,-0.01479,0.17281
2021-05-26,-0.01206,0.17166
2021-05-27,-0.00087,0.17613
2021-05-28,-0.05288,0.18719
2021-05-29,0.03786,0.17812
2021-05-30,0.06192,0.19146
2021-05-31,-0.17373,0.22098
2021-06-01,-0.00905,0.1679
2021-06-02,-0.00824,0.16862
2021-06-03,0.02337,0.15738
2021-06-04,0.02095,0.1541
2021-06-05,0.08896,0.16349
2021-06-06,0.08697,0.18769
2021-06-07,-0.01895,0.17451
2021-06-08,-0.02444,0.1716
2021-06-09,-0.00525,0.16701
