ds,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2020-03-01,0.03677,0.1821
2020-03-02,0.08421,0.13512
2020-03-03,-0.05416,0.15312
2020-03-04,-0.05641,0.15104
2020-03-05,0.05157,0.15587
2020-03-06,0.08602,0.11159
2020-03-07,0.00484,0.1615
2020-03-08,-0.01098,0.21018
2020-03-09,0.12395,0.13734
2020-03-10,0.09239,0.1233
2020-03-11,0.02833,0.13446
2020-03-12,0.06953,0.12107
2020-03-13,0.04814,0.10863
2020-03-14,0.05714,0.17862
2020-03-15,-0.01063,0.20945
2020-03-16,-0.05266,0.16224
2020-03-17,-0.14062,0.17231
2020-03-18,-0.13184,0.18856
2020-03-19,-0.05424,0.18841
2020-03-20,-0.17996,0.17852
2020-03-21,-0.23519,0.26421
2020-03-22,-0.31978,0.35003
2020-03-23,-0.24629,0.26724
2020-03-24,-0.24423,0.25669
2020-03-25,-0.25872,0.26207
2020-03-26,-0.21993,0.25107
2020-03-27,-0.29025,0.23212
2020-03-28,-0.30319,0.29159
2020-03-29,-0.30485,0.31315
2020-03-30,-0.27807,0.25483
2020-03-31,-0.29835,0.29352
2020-04-01,-0.2573,0.24137
2020-04-02,-0.17988,0.2504
2020-04-03,-0.25685,0.23446
2020-04-04,-0.38324,0.28509
2020-04-05,-0.39097,0.37498
2020-04-06,-0.31976,0.28715
2020-04-07,-0.29769,0.29441
2020-04-08,-0.33678,0.31607
2020-04-09,-0.28683,0.27647
2020-04-10,-0.29431,0.24938
2020-04-11,-0.31201,0.27976
2020-04-12,-0.36523,0.4141
2020-04-13,-0.34145,0.27927
2020-04-14,-0.26581,0.24439
2020-04-15,-0.23927,0.28108
2020-04-16,-0.18972,0.26955
2020-04-17,-0.25207,0.22381
2020-04-18,-0.27452,0.27271
2020-04-19,-0.45301,0.43002
2020-04-20,-0.23671,0.29781
2020-04-21,-0.25212,0.26755
2020-04-22,-0.31157,0.24703
2020-04-23,-0.39392,0.34187
2020-04-24,-0.21591,0.22532
2020-04-25,-0.26919,0.26051
2020-04-26,-0.21868,0.30106
2020-04-27,-0.15486,0.23179
2020-04-28,-0.17173,0.26924
2020-04-29,-0.20616,0.28088
2020-04-30,-0.19311,0.25605
2020-05-01,-0.08915,0.17973
2020-05-02,-0.15652,0.23127
2020-05-03,-0.17291,0.28445
2020-05-04,-0.10115,0.22161
2020-05-05,-0.12628,0.21813
2020-05-06,-0.15694,0.21753
2020-05-07,-0.08816,0.21483
2020-05-08,-0.12752,0.20942
2020-05-09,-0.10129,0.22417
2020-05-10,-0.03916,0.25101
2020-05-11,-0.07679,0.20464
2020-05-12,-0.17697,0.224
2020-05-13,-0.07173,0.19328
2020-05-14,-0.03918,0.19895
2020-05-15,-0.06817,0.17717
2020-05-16,-0.07943,0.20784
2020-05-17,-0.09215,0.28094
2020-05-18,-0.17382,0.22072
2020-05-19,-0.06579,0.20908
2020-05-20,-0.14058,0.21091
2020-05-21,0.01912,0.20564
2020-05-22,-0.03257,0.19087
