ds,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2021-01-01,-0.46319,0.3342
2021-01-02,-0.13554,0.23466
2021-01-03,-0.03053,0.2618
2021-01-04,-0.03208,0.21369
2021-01-05,-0.07698,0.1746
2021-01-06,-0.10539,0.19278
2021-01-07,-0.11706,0.21945
2021-01-08,-0.15861,0.16831
2021-01-09,-0.12147,0.22686
2021-01-10,-0.08934,0.28035
2021-01-11,-0.07274,0.20822
2021-01-12,-0.12857,0.20255
2021-01-13,-0.17467,0.19284
2021-01-14,-0.07309,0.19878
2021-01-15,-0.1263,0.18368
2021-01-16,-0.19201,0.2209
2021-01-17,-0.13855,0.28998
2021-01-18,-0.07304,0.20608
2021-01-19,-0.0639,0.20916
2021-01-20,-0.10727,0.20391
2021-01-21,-0.00227,0.18984
2021-01-22,-0.13424,0.18261
2021-01-23,-0.13498,0.18671
2021-01-24,-0.14227,0.25486
2021-01-25,-0.02758,0.1844
2021-01-26,-0.08408,0.18426
2021-01-27,-0.2294,0.19718
2021-01-28,-0.0498,0.18864
2021-01-29,-0.09401,0.17363
2021-01-30,-0.04996,0.16243
2021-01-31,-0.18856,0.29402
2021-02-01,-0.12287,0.23089
2021-02-02,-0.09963,0.21139
2021-02-03,-0.11265,0.18279
2021-02-04,-0.01067,0.18863
2021-02-05,-0.04238,0.16128
2021-02-06,-0.14215,0.2253
2021-02-07,-0.19615,0.2643
2021-02-08,-0.01393,0.21823
2021-02-09,-0.13723,0.21882
2021-02-10,-0.14696,0.18946
2021-02-11,-0.02621,0.20618
2021-02-12,-0.08162,0.2018
2021-02-13,-0.1548,0.24803
2021-02-14,0.02,0.29614
2021-02-15,-0.11005,0.25563
2021-02-16,-0.19418,0.23689
2021-02-17,-0.15759,0.19976
2021-02-18,-0.12121,0.21479
2021-02-19,-0.08505,0.18542
2021-02-20,-0.13559,0.19796
2021-02-21,-0.11211,0.23974
2021-02-22,-0.08813,0.21917
2021-02-23,0.00389,0.1879
2021-02-24,-0.08601,0.17799
2021-02-25,0.006,0.17999
2021-02-26,-0.01286,0.14104
2021-02-27,-0.09145,0.18536
2021-02-28,-0.05299,0.24421
2021-03-01,-0.06623,0.2076
2021-03-02,-0.14804,0.23907
2021-03-03,-0.08695,0.16338
2021-03-04,-0.00662,0.16612
2021-03-05,-0.06517,0.18387
2021-03-06,-0.13391,0.19464
2021-03-07,0.04504,0.23089
2021-03-08,-0.04817,0.2052
2021-03-09,-0.12708,0.18248
2021-03-10,-0.06825,0.18284
2021-03-11,0.00367,0.16748
2021-03-12,-0.04772,0.16328
2021-03-13,0.03238,0.17658
2021-03-14,0.00298,0.21352
2021-03-15,-0.01471,0.17474
2021-03-16,-0.09216,0.19861
2021-03-17,-0.14307,0.18536
2021-03-18,-0.02114,0.16251
2021-03-19,-0.01729,0.17807
2021-03-20,-0.02123,0.18628
2021-03-21,0.10086,0.19619
2021-03-22,-0.07572,0.18349
2021-03-23,-0.04226,0.16379
2021-03-24,-0.05473,0.16875
2021-03-25,-0.05231,0.16995
2021-03-26,-0.12048,0.17298
2021-03-27,0.03807,0.19158
2021-03-28,0.14681,0.2619
2021-03-29,-0.08178,0.17221
2021-03-30,-0.04416,0.19187
2021-03-31,-0.18724,0.19797
2021-04-01,-0.03392,0.19374
2021-04-02,-0.05525,0.15295
2021-04-03,0.00122,0.16268
2021-04-04,-0.06273,0.25685
2021-04-05,-0.01369,0.14065
2021-04-06,0.00265,0.16527
2021-04-07,0.00559,0.14354
2021-04-08,0.09766,0.18425
