ds,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2020-03-01,-0.01012,0.157
2020-03-02,0.00395,0.11065
2020-03-03,0.02396,0.10284
2020-03-04,-0.00217,0.10628
2020-03-05,-0.00293,0.10797
2020-03-06,-0.01163,0.10587
2020-03-07,-0.02626,0.13883
2020-03-08,-0.02028,0.1606
2020-03-09,-0.0115,0.11526
2020-03-10,-0.09726,0.13735
2020-03-11,-0.07186,0.11821
2020-03-12,-0.09383,0.13896
2020-03-13,-0.14371,0.13731
2020-03-14,-0.20422,0.18469
2020-03-15,-0.20499,0.2163
2020-03-16,-0.23192,0.19146
2020-03-17,-0.2898,0.21094
2020-03-18,-0.30961,0.21618
2020-03-19,-0.35362,0.23479
2020-03-20,-0.38634,0.24574
2020-03-21,-0.43718,0.30632
2020-03-22,-0.48163,0.36903
2020-03-23,-0.4373,0.30012
2020-03-24,-0.44061,0.29831
2020-03-25,-0.44523,0.29628
2020-03-26,-0.45102,0.29448
2020-03-27,-0.44652,0.28393
2020-03-28,-0.4769,0.32864
2020-03-29,-0.49888,0.37199
2020-03-30,-0.43866,0.29769
2020-03-31,-0.44057,0.29573
2020-04-01,-0.42978,0.28517
2020-04-02,-0.44851,0.29506
2020-04-03,-0.43377,0.27682
2020-04-04,-0.4616,0.32384
2020-04-05,-0.50773,0.38479
2020-04-06,-0.49834,0.34237
2020-04-07,-0.49028,0.34515
2020-04-08,-0.49535,0.33647
2020-04-09,-0.54089,0.3798
2020-04-10,-0.50558,0.32974
2020-04-11,-0.47477,0.33396
2020-04-12,-0.53752,0.40466
2020-04-13,-0.45229,0.31395
2020-04-14,-0.43581,0.3025
2020-04-15,-0.42245,0.29022
2020-04-16,-0.43166,0.29156
2020-04-17,-0.43175,0.28391
2020-04-18,-0.44017,0.32045
2020-04-19,-0.45321,0.35711
2020-04-20,-0.40666,0.2889
2020-04-21,-0.4138,0.29008
2020-04-22,-0.4146,0.28522
2020-04-23,-0.42275,0.28644
2020-04-24,-0.41094,0.27475
2020-04-25,-0.40123,0.30105
2020-04-26,-0.40923,0.33483
2020-04-27,-0.37953,0.27583
2020-04-28,-0.38189,0.2752
2020-04-29,-0.3841,0.2674
2020-04-30,-0.38924,0.26654
2020-05-01,-0.36075,0.24408
2020-05-02,-0.34957,0.27027
2020-05-03,-0.36292,0.30877
2020-05-04,-0.34105,0.25202
2020-05-05,-0.3512,0.25528
2020-05-06,-0.35805,0.25634
2020-05-07,-0.36588,0.2563
2020-05-08,-0.33612,0.2361
2020-05-09,-0.29874,0.25133
2020-05-10,-0.2874,0.26956
2020-05-11,-0.32194,0.2434
2020-05-12,-0.33522,0.24991
2020-05-13,-0.33654,0.24515
2020-05-14,-0.34249,0.24536
2020-05-15,-0.32403,0.22981
2020-05-16,-0.29614,0.2526
2020-05-17,-0.29677,0.28662
2020-05-18,-0.32784,0.25393
2020-05-19,-0.31233,0.23915
2020-05-20,-0.31286,0.23384
2020-05-21,-0.31416,0.23134
2020-05-22,-0.29038,0.21887
2020-05-23,-0.26566,0.24109
2020-05-24,-0.25716,0.27027
2020-05-25,-0.39348,0.27531
2020-05-26,-0.28802,0.22727
2020-05-27,-0.29553,0.22906
2020-05-28,-0.29964,0.22637
2020-05-29,-0.28777,0.21474
2020-05-30,-0.25288,0.23557
2020-05-31,-0.299,0.28676
2020-06-01,-0.31794,0.24781
2020-06-02,-0.31929,0.2389
2020-06-03,-0.30445,0.22618
2020-06-04,-0.29811,0.21834
2020-06-05,-0.27692,0.20558
2020-06-06,-0.24744,0.2243
2020-06-07,-0.22436,0.25058
2020-06-08,-0.24499,0.20997
2020-06-09,-0.25701,0.21172
2020-06-10,-0.25293,0.20801
2020-06-11,-0.25548,0.20342
2020-06-12,-0.23109,0.19142
2020-06-13,-0.19455,0.20892
2020-06-14,-0.1785,0.23718
2020-06-15,-0.21829,0.20052
2020-06-16,-0.23458,0.20353
2020-06-17,-0.2386,0.20073
2020-06-18,-0.24474,0.20009
2020-06-19,-0.2187,0.18827
2020-06-20,-0.178,0.20135
2020-06-21,-0.18896,0.22479
2020-06-22,-0.22033,0.19896
2020-06-23,-0.23452,0.20365
2020-06-24,-0.23813,0.19998
2020-06-25,-0.24059,0.20055
2020-06-26,-0.22661,0.19044
2020-06-27,-0.19343,0.20853
2020-06-28,-0.19496,0.24098
2020-06-29,-0.22102,0.20354
2020-06-30,-0.22676,0.20189
2020-07-01,-0.22146,0.19571
2020-07-02,-0.21189,0.19476
2020-07-03,-0.24547,0.19988
2020-07-04,-0.32991,0.23992
2020-07-05,-0.27001,0.25976
2020-07-06,-0.22777,0.20892
2020-07-07,-0.2347,0.20733
2020-07-08,-0.24416,0.20425
2020-07-09,-0.25,0.204
2020-07-10,-0.23667,0.1944
2020-07-11,-0.21521,0.21895
2020-07-12,-0.21206,0.25231
2020-07-13,-0.22148,0.20497
2020-07-14,-0.24398,0.20851
2020-07-15,-0.24826,0.20834
2020-07-16,-0.26225,0.21031
2020-07-17,-0.24908,0.20223
2020-07-18,-0.22,0.22266
2020-07-19,-0.22388,0.25516
2020-07-20,-0.23114,0.20896
2020-07-21,-0.24101,0.2107
2020-07-22,-0.24872,0.20854
2020-07-23,-0.2561,0.20957
2020-07-24,-0.23919,0.19861
2020-07-25,-0.21043,0.21882
2020-07-26,-0.20698,0.24938
2020-07-27,-0.22542,0.20735
2020-07-28,-0.23853,0.20959
2020-07-29,-0.24312,0.20712
2020-07-30,-0.2491,0.20863
2020-07-31,-0.22032,0.19472
2020-08-01,-0.1883,0.21263
2020-08-02,-0.18682,0.24373
2020-08-03,-0.19385,0.19749
2020-08-04,-0.21232,0.19995
2020-08-05,-0.22245,0.1973
2020-08-06,-0.2316,0.19781
2020-08-07,-0.21324,0.18697
2020-08-08,-0.1854,0.20812
2020-08-09,-0.17738,0.23777
2020-08-10,-0.19861,0.19722
2020-08-11,-0.21636,0.19916
2020-08-12,-0.22612,0.19962
2020-08-13,-0.23308,0.19975
2020-08-14,-0.21412,0.19155
2020-08-15,-0.18795,0.21529
2020-08-16,-0.1744,0.24202
2020-08-17,-0.20631,0.20001
2020-08-18,-0.23336,0.20915
2020-08-19,-0.23289,0.20387
2020-08-20,-0.24164,0.2027
2020-08-21,-0.21972,0.19186
2020-08-22,-0.18006,0.20926
2020-08-23,-0.17794,0.23936
2020-08-24,-0.21117,0.20129
2020-08-25,-0.22903,0.20404
2020-08-26,-0.23069,0.20064
2020-08-27,-0.23829,0.20042
2020-08-28,-0.20493,0.18688
2020-08-29,-0.16121,0.20304
2020-08-30,-0.15149,0.23067
2020-08-31,-0.1993,0.1961
2020-09-01,-0.20782,0.19334
2020-09-02,-0.21564,0.19341
2020-09-03,-0.21199,0.18948
2020-09-04,-0.17514,0.18067
2020-09-05,-0.16131,0.21022
2020-09-06,-0.1669,0.24669
2020-09-07,-0.32865,0.2505
2020-09-08,-0.2071,0.19435
2020-09-09,-0.23019,0.19613
2020-09-10,-0.24232,0.19646
2020-09-11,-0.2298,0.18733
2020-09-12,-0.19572,0.20387
2020-09-13,-0.1969,0.23436
2020-09-14,-0.21702,0.19597
2020-09-15,-0.22541,0.19726
2020-09-16,-0.23489,0.19607
2020-09-17,-0.24007,0.19559
2020-09-18,-0.20875,0.18234
2020-09-19,-0.171,0.19809
2020-09-20,-0.16334,0.22336
2020-09-21,-0.20541,0.19487
2020-09-22,-0.21884,0.19612
2020-09-23,-0.21943,0.19283
2020-09-24,-0.22588,0.19349
2020-09-25,-0.18839,0.17969
2020-09-26,-0.15087,0.19433
2020-09-27,-0.16001,0.22783
2020-09-28,-0.20633,0.19722
2020-09-29,-0.21766,0.19897
2020-09-30,-0.22279,0.19729
2020-10-01,-0.21672,0.19073
2020-10-02,-0.19428,0.17874
2020-10-03,-0.14591,0.19261
2020-10-04,-0.1575,0.22436
2020-10-05,-0.19307,0.19023
2020-10-06,-0.21427,0.19361
2020-10-07,-0.21759,0.19274
2020-10-08,-0.22531,0.18966
2020-10-09,-0.19029,0.17702
2020-10-10,-0.15024,0.19198
2020-10-11,-0.15812,0.22397
2020-10-12,-0.20528,0.1958
2020-10-13,-0.21905,0.19563
2020-10-14,-0.21472,0.1893
2020-10-15,-0.21628,0.1895
2020-10-16,-0.18515,0.17814
2020-10-17,-0.13955,0.19157
2020-10-18,-0.13982,0.22078
2020-10-19,-0.19453,0.19012
2020-10-20,-0.21295,0.19377
2020-10-21,-0.21719,0.18984
2020-10-22,-0.22287,0.19073
2020-10-23,-0.19678,0.17903
2020-10-24,-0.15411,0.19309
2020-10-25,-0.17006,0.2286
2020-10-26,-0.20344,0.19561
2020-10-27,-0.2175,0.19572
2020-10-28,-0.20665,0.18761
2020-10-29,-0.20795,0.18656
2020-10-30,-0.16574,0.16804
2020-10-31,-0.14197,0.18181
2020-11-01,-0.1327,0.21284
2020-11-02,-0.18302,0.1853
2020-11-03,-0.21777,0.18843
2020-11-04,-0.24828,0.197
2020-11-05,-0.2374,0.19232
2020-11-06,-0.20058,0.17931
2020-11-07,-0.24083,0.22364
2020-11-08,-0.22113,0.24931
2020-11-09,-0.2071,0.19731
2020-11-10,-0.20302,0.19533
2020-11-11,-0.22957,0.19403
2020-11-12,-0.22748,0.19312
2020-11-13,-0.19698,0.18183
2020-11-14,-0.16531,0.19873
2020-11-15,-0.16561,0.22781
2020-11-16,-0.19715,0.19467
2020-11-17,-0.21142,0.19559
2020-11-18,-0.21356,0.19333
2020-11-19,-0.22039,0.19381
2020-11-20,-0.20021,0.18126
2020-11-21,-0.16969,0.1998
2020-11-22,-0.19266,0.23525
2020-11-23,-0.18698,0.19477
2020-11-24,-0.16948,0.18704
2020-11-25,-0.14422,0.17853
2020-11-26,-0.4468,0.26545
2020-11-27,-0.35096,0.2286
2020-11-28,-0.26563,0.23119
2020-11-29,-0.23839,0.25811
2020-11-30,-0.22097,0.20614
2020-12-01,-0.22412,0.20292
2020-12-02,-0.24339,0.2028
2020-12-03,-0.24712,0.2015
2020-12-04,-0.22918,0.19421
2020-12-05,-0.21471,0.21716
2020-12-06,-0.23057,0.2546
2020-12-07,-0.24969,0.21684
2020-12-08,-0.25612,0.21806
2020-12-09,-0.2568,0.21427
2020-12-10,-0.27451,0.21732
2020-12-11,-0.26322,0.2078
2020-12-12,-0.23392,0.22985
2020-12-13,-0.24553,0.26508
2020-12-14,-0.24785,0.22122
2020-12-15,-0.24697,0.21899
2020-12-16,-0.25293,0.21618
2020-12-17,-0.26428,0.22079
2020-12-18,-0.23896,0.20546
2020-12-19,-0.20243,0.22302
2020-12-20,-0.20192,0.25333
2020-12-21,-0.18502,0.2041
2020-12-22,-0.18679,0.20463
2020-12-23,-0.16956,0.19936
2020-12-24,-0.2792,0.22972
2020-12-25,-0.56254,0.35271
2020-12-26,-0.33366,0.26553
2020-12-27,-0.30134,0.29451
2020-12-28,-0.36554,0.29936
2020-12-29,-0.26935,0.23022
2020-12-30,-0.24659,0.22044
2020-12-31,-0.28341,0.22378
