ds,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2021-01-01,-0.51377,0.33675
2021-01-02,-0.30397,0.25991
2021-01-03,-0.28038,0.28817
2021-01-04,-0.25962,0.22333
2021-01-05,-0.2737,0.22824
2021-01-06,-0.29109,0.22867
2021-01-07,-0.30723,0.23183
2021-01-08,-0.29042,0.21992
2021-01-09,-0.26414,0.24647
2021-01-10,-0.2635,0.27782
2021-01-11,-0.2679,0.22531
2021-01-12,-0.28389,0.22884
2021-01-13,-0.29444,0.22667
2021-01-14,-0.29536,0.22519
2021-01-15,-0.26964,0.21024
2021-01-16,-0.24478,0.23089
2021-01-17,-0.24035,0.26515
2021-01-18,-0.27201,0.22837
2021-01-19,-0.27541,0.22552
2021-01-20,-0.29563,0.22882
2021-01-21,-0.27827,0.21559
2021-01-22,-0.27523,0.21022
2021-01-23,-0.32791,0.27841
2021-01-24,-0.26583,0.27284
2021-01-25,-0.27917,0.23701
2021-01-26,-0.25537,0.21777
2021-01-27,-0.29264,0.22535
2021-01-28,-0.30545,0.22529
2021-01-29,-0.3549,0.25279
2021-01-30,-0.20586,0.21751
2021-01-31,-0.19981,0.2516
2021-02-01,-0.2357,0.20854
2021-02-02,-0.23109,0.2044
2021-02-03,-0.2331,0.19885
2021-02-04,-0.24606,0.20196
2021-02-05,-0.21345,0.18782
2021-02-06,-0.16204,0.20257
2021-02-07,-0.21482,0.23953
2021-02-08,-0.2159,0.20081
2021-02-09,-0.25258,0.20741
2021-02-10,-0.23327,0.19947
2021-02-11,-0.22974,0.19914
2021-02-12,-0.20607,0.19348
2021-02-13,-0.15611,0.20271
2021-02-14,-0.14016,0.22774
2021-02-15,-0.23596,0.21012
2021-02-16,-0.22527,0.20088
2021-02-17,-0.2275,0.19707
2021-02-18,-0.23381,0.19788
2021-02-19,-0.21345,0.18516
2021-02-20,-0.17486,0.20858
2021-02-21,-0.16331,0.23044
2021-02-22,-0.21067,0.19675
2021-02-23,-0.21821,0.19709
2021-02-24,-0.2267,0.19431
2021-02-25,-0.22379,0.19412
2021-02-26,-0.18807,0.17892
2021-02-27,-0.13693,0.19461
2021-02-28,-0.14748,0.22405
2021-03-01,-0.19282,0.18751
