ds,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2020-03-01,0.05116,0.16847
2020-03-02,0.01656,0.12903
2020-03-03,0.02588,0.1209
2020-03-04,0.02979,0.11795
2020-03-05,0.01087,0.11633
2020-03-06,0.01076,0.11368
2020-03-07,0.02468,0.14371
2020-03-08,0.03415,0.16959
2020-03-09,-0.01073,0.13689
2020-03-10,-0.03862,0.13982
2020-03-11,-0.08603,0.15172
2020-03-12,-0.10255,0.14653
2020-03-13,-0.09168,0.14124
2020-03-14,-0.05546,0.16622
2020-03-15,-0.05916,0.19901
2020-03-16,-0.09913,0.16472
2020-03-17,-0.132,0.17599
2020-03-18,-0.2145,0.21294
2020-03-19,-0.2478,0.21307
2020-03-20,-0.23706,0.20489
2020-03-21,-0.25097,0.247
2020-03-22,-0.29821,0.2972
2020-03-23,-0.27202,0.24406
2020-03-24,-0.27731,0.24331
2020-03-25,-0.2843,0.24615
2020-03-26,-0.312,0.25101
2020-03-27,-0.3145,0.24254
2020-03-28,-0.31172,0.27296
2020-03-29,-0.32494,0.31106
2020-03-30,-0.28909,0.24896
2020-03-31,-0.29434,0.24977
2020-04-01,-0.33812,0.27329
2020-04-02,-0.35249,0.27044
2020-04-03,-0.33699,0.25052
2020-04-04,-0.35014,0.28628
2020-04-05,-0.3757,0.32932
2020-04-06,-0.33331,0.27643
2020-04-07,-0.33438,0.27199
2020-04-08,-0.33975,0.27301
2020-04-09,-0.34825,0.26799
2020-04-10,-0.34253,0.25417
2020-04-11,-0.34821,0.28364
2020-04-12,-0.3909,0.32609
2020-04-13,-0.33055,0.27103
2020-04-14,-0.31883,0.26609
2020-04-15,-0.2872,0.25348
2020-04-16,-0.31124,0.25482
2020-04-17,-0.30596,0.24578
2020-04-18,-0.29033,0.27143
2020-04-19,-0.31054,0.30969
2020-04-20,-0.2915,0.26338
2020-04-21,-0.29825,0.26499
2020-04-22,-0.2959,0.26261
2020-04-23,-0.31461,0.26373
2020-04-24,-0.31003,0.25034
2020-04-25,-0.28912,0.2742
2020-04-26,-0.30531,0.31055
2020-04-27,-0.28427,0.26359
2020-04-28,-0.28062,0.26005
2020-04-29,-0.27566,0.25549
2020-04-30,-0.28014,0.2503
2020-05-01,-0.2608,0.22807
2020-05-02,-0.24238,0.25563
2020-05-03,-0.26086,0.29528
2020-05-04,-0.24979,0.24814
2020-05-05,-0.25531,0.24497
2020-05-06,-0.25479,0.24715
2020-05-07,-0.27114,0.245
2020-05-08,-0.25121,0.22608
2020-05-09,-0.21368,0.24303
2020-05-10,-0.22062,0.26392
2020-05-11,-0.2389,0.2397
2020-05-12,-0.2332,0.23562
2020-05-13,-0.21904,0.22863
2020-05-14,-0.22921,0.22273
2020-05-15,-0.21375,0.21044
2020-05-16,-0.16773,0.23168
2020-05-17,-0.1871,0.26871
2020-05-18,-0.19551,0.22384
2020-05-19,-0.19638,0.22016
2020-05-20,-0.17668,0.21052
2020-05-21,-0.19737,0.20946
2020-05-22,-0.17797,0.19646
2020-05-23,-0.14281,0.21409
2020-05-24,-0.14324,0.246
2020-05-25,-0.2944,0.25874
2020-05-26,-0.18891,0.21931
2020-05-27,-0.19543,0.21933
2020-05-28,-0.20983,0.21762
2020-05-29,-0.20703,0.2045
2020-05-30,-0.16976,0.22604
2020-05-31,-0.16407,0.25696
2020-06-01,-0.19962,0.22552
2020-06-02,-0.20731,0.22217
2020-06-03,-0.20007,0.21717
2020-06-04,-0.2138,0.21766
2020-06-05,-0.19416,0.20113
2020-06-06,-0.15507,0.21868
2020-06-07,-0.1612,0.25244
2020-06-08,-0.17348,0.21407
2020-06-09,-0.17266,0.20946
2020-06-10,-0.17452,0.20955
2020-06-11,-0.19752,0.21055
2020-06-12,-0.18733,0.19794
2020-06-13,-0.14146,0.21723
2020-06-14,-0.14425,0.25206
2020-06-15,-0.18428,0.21983
2020-06-16,-0.18716,0.21905
2020-06-17,-0.17708,0.21256
2020-06-18,-0.19441,0.21185
2020-06-19,-0.1825,0.20126
2020-06-20,-0.15852,0.2215
2020-06-21,-0.18362,0.25248
2020-06-22,-0.20078,0.22787
2020-06-23,-0.20173,0.22898
2020-06-24,-0.19835,0.22404
2020-06-25,-0.21566,0.22332
2020-06-26,-0.21643,0.21367
2020-06-27,-0.19323,0.23689
2020-06-28,-0.20516,0.27324
2020-06-29,-0.2029,0.22981
2020-06-30,-0.20268,0.22792
2020-07-01,-0.19399,0.22197
2020-07-02,-0.19219,0.21929
2020-07-03,-0.24911,0.22851
2020-07-04,-0.30407,0.26411
2020-07-05,-0.26382,0.29086
2020-07-06,-0.2308,0.24343
2020-07-07,-0.22977,0.2395
2020-07-08,-0.23373,0.2382
2020-07-09,-0.25007,0.23512
2020-07-10,-0.2435,0.22384
2020-07-11,-0.23536,0.25529
2020-07-12,-0.2575,0.29715
2020-07-13,-0.24186,0.24862
2020-07-14,-0.2384,0.2407
2020-07-15,-0.22663,0.23518
2020-07-16,-0.2332,0.23474
2020-07-17,-0.23354,0.22128
2020-07-18,-0.20721,0.24789
2020-07-19,-0.2218,0.28373
2020-07-20,-0.21392,0.23721
2020-07-21,-0.22009,0.23648
2020-07-22,-0.21824,0.2309
2020-07-23,-0.22616,0.22818
2020-07-24,-0.21756,0.21531
2020-07-25,-0.1887,0.24115
2020-07-26,-0.20189,0.27785
2020-07-27,-0.21531,0.2354
2020-07-28,-0.22218,0.23327
2020-07-29,-0.20893,0.22799
2020-07-30,-0.2331,0.22734
2020-07-31,-0.20514,0.21024
2020-08-01,-0.16887,0.23412
2020-08-02,-0.18616,0.2701
2020-08-03,-0.20329,0.22781
2020-08-04,-0.20509,0.22341
2020-08-05,-0.21439,0.22424
2020-08-06,-0.22362,0.21992
