ds,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2021-01-01,-0.39122,0.27485
2021-01-02,-0.21279,0.23681
2021-01-03,-0.19392,0.27102
2021-01-04,-0.17406,0.21603
2021-01-05,-0.18129,0.21463
2021-01-06,-0.18883,0.21397
2021-01-07,-0.21733,0.21294
2021-01-08,-0.21018,0.2022
2021-01-09,-0.16219,0.22297
2021-01-10,-0.1705,0.25847
2021-01-11,-0.18604,0.21915
2021-01-12,-0.19399,0.21682
2021-01-13,-0.19398,0.21559
2021-01-14,-0.20726,0.20917
2021-01-15,-0.19295,0.19662
2021-01-16,-0.14971,0.21401
2021-01-17,-0.15698,0.25001
2021-01-18,-0.1923,0.22422
2021-01-19,-0.19014,0.21489
2021-01-20,-0.19144,0.21104
2021-01-21,-0.20462,0.20683
2021-01-22,-0.1991,0.19464
2021-01-23,-0.16555,0.22092
2021-01-24,-0.20189,0.277
2021-01-25,-0.23745,0.24316
2021-01-26,-0.22149,0.22757
2021-01-27,-0.18002,0.21073
2021-01-28,-0.19438,0.20558
2021-01-29,-0.19187,0.20463
2021-01-30,-0.13277,0.21328
2021-01-31,-0.11829,0.24186
2021-02-01,-0.15266,0.20466
2021-02-02,-0.16638,0.20217
2021-02-03,-0.1508,0.19372
2021-02-04,-0.16794,0.19495
2021-02-05,-0.15872,0.18386
2021-02-06,-0.10921,0.20033
2021-02-07,-0.16271,0.23845
2021-02-08,-0.15145,0.20126
2021-02-09,-0.17142,0.20331
2021-02-10,-0.15124,0.19479
2021-02-11,-0.15955,0.18877
2021-02-12,-0.1332,0.1775
2021-02-13,-0.09184,0.20037
2021-02-14,-0.08229,0.2261
2021-02-15,-0.1624,0.21485
2021-02-16,-0.15263,0.2
2021-02-17,-0.1469,0.19777
2021-02-18,-0.1697,0.19489
2021-02-19,-0.15485,0.18242
2021-02-20,-0.10292,0.20079
2021-02-21,-0.11849,0.23652
2021-02-22,-0.16142,0.20321
2021-02-23,-0.15308,0.19597
2021-02-24,-0.14186,0.19016
