date,confirmed_total,deaths_total
0020-01-22,0,0
0020-01-23,0,0
0020-01-24,0,0
0020-01-25,0,0
0020-01-26,0,0
0020-01-27,0,0
0020-01-28,0,0
0020-01-29,0,0
0020-01-30,0,0
0020-01-31,0,0
0020-02-01,0,0
0020-02-02,0,0
0020-02-03,0,0
0020-02-04,0,0
0020-02-05,0,0
0020-02-06,0,0
0020-02-07,0,0
0020-02-08,0,0
0020-02-09,0,0
0020-02-10,0,0
0020-02-11,0,0
0020-02-12,0,0
0020-02-13,0,0
0020-02-14,0,0
0020-02-15,0,0
0020-02-16,0,0
0020-02-17,0,0
0020-02-18,0,0
0020-02-19,0,0
0020-02-20,0,0
0020-02-21,0,0
0020-02-22,0,0
0020-02-23,0,0
0020-02-24,0,0
0020-02-25,0,0
0020-02-26,0,0
0020-02-27,0,0
0020-02-28,0,0
0020-02-29,0,0
0020-03-01,0,0
0020-03-02,0,0
0020-03-03,0,0
0020-03-04,0,0
0020-03-05,2,0
0020-03-06,3,0
0020-03-07,5,0
0020-03-08,5,0
0020-03-09,6,0
0020-03-10,6,0
0020-03-11,7,0
0020-03-12,9,0
0020-03-13,9,0
0020-03-14,11,0
0020-03-15,11,0
0020-03-16,13,0
0020-03-17,16,0
0020-03-18,23,1
0020-03-19,30,1
0020-03-20,55,1
0020-03-21,68,2
0020-03-22,74,2
0020-03-23,78,2
0020-03-24,134,4
0020-03-25,185,5
0020-03-26,203,6
0020-03-27,229,10
0020-03-28,445,11
0020-03-29,526,13
0020-03-30,563,17
0020-03-31,680,20
0020-04-01,847,25
0020-04-02,955,29
0020-04-03,1106,31
0020-04-04,1284,36
0020-04-05,1395,47
0020-04-06,1809,54
0020-04-07,2146,58
0020-04-08,2341,63
0020-04-09,3047,71
0020-04-10,3261,74
0020-04-11,3561,79
0020-04-12,3629,86
0020-04-13,3744,92
0020-04-14,3907,98
0020-04-15,4097,105
0020-04-16,4306,112
0020-04-17,4460,119
0020-04-18,4653,124
0020-04-19,4823,131
0020-04-20,4977,134
0020-04-21,5143,143
0020-04-22,5211,150
0020-04-23,5330,154
0020-04-24,5482,159
0020-04-25,5482,166
0020-04-26,5628,171
0020-04-27,5628,176
0020-04-28,5827,179
0020-04-29,6161,184
0020-04-30,6356,191
0020-05-01,6551,196
0020-05-02,6708,199
0020-05-03,6838,203
0020-05-04,6967,211
0020-05-05,7128,214
0020-05-06,7244,221
0020-05-07,7377,227
0020-05-08,7594,231
0020-05-09,7803,234
0020-05-10,7878,236
0020-05-11,8176,238
0020-05-12,8416,241
0020-05-13,8621,249
0020-05-14,8817,254
0020-05-15,9050,262
0020-05-16,9126,269
0020-05-17,9465,272
0020-05-18,9635,273
0020-05-19,9859,278
0020-05-20,10095,283
0020-05-21,10283,288
0020-05-22,10526,292
0020-05-23,10770,294
0020-05-24,10921,305
0020-05-25,10995,311
0020-05-26,11281,315
0020-05-27,11542,322
0020-05-28,11770,328
0020-05-29,12009,332
0020-05-30,12220,343
0020-05-31,12276,345
0020-06-01,12664,349
0020-06-02,13027,356
0020-06-03,13268,363
0020-06-04,13603,371
0020-06-05,13940,377
0020-06-06,14423,383
0020-06-07,14586,386
0020-06-08,14918,394
0020-06-09,15238,395
0020-06-10,15552,399
0020-06-11,15864,405
0020-06-12,16188,415
0020-06-13,16568,429
0020-06-14,16778,438
0020-06-15,17282,446
0020-06-16,17707,453
0020-06-17,18157,463
0020-06-18,18552,475
0020-06-19,19739,481
0020-06-20,20874,494
0020-06-21,21053,502
0020-06-22,23047,509
0020-06-23,24421,520
0020-06-24,25786,538
0020-06-25,27016,550
0020-06-26,28254,565
0020-06-27,29162,584
0020-06-28,29276,596
0020-06-29,30729,615
0020-06-30,31422,631
0020-07-01,32859,651
0020-07-02,34108,680
0020-07-03,35316,702
0020-07-04,35913,731
0020-07-05,36597,759
0020-07-06,37776,786
0020-07-07,39311,821
0020-07-08,40012,855
0020-07-09,40918,889
0020-07-10,41999,924
0020-07-11,43939,955
0020-07-12,45368,981
0020-07-13,47369,1017
0020-07-14,49027,1052
0020-07-15,50362,1089
0020-07-16,51959,1117
0020-07-17,53535,1147
0020-07-18,54782,1170
0020-07-19,55743,1203
0020-07-20,57071,1235
0020-07-21,58457,1264
0020-07-22,59901,1295
0020-07-23,61411,1323
0020-07-24,62612,1334
0020-07-25,64108,1352
0020-07-26,65344,1362
0020-07-27,66190,1376
0020-07-28,67655,1394
0020-07-29,69123,1400
0020-07-30,70847,1404
0020-07-31,72961,1408
0020-08-01,74881,1409
0020-08-02,76639,1409
0020-08-03,78100,1409
0020-08-04,79536,1409
0020-08-05,80914,1409
0020-08-06,81919,1459
0020-08-07,83183,1514
0020-08-08,84600,1562
0020-08-09,85757,1575
0020-08-10,86563,1583
0020-08-11,87505,1616
0020-08-12,88494,1679
0020-08-13,89425,1713
0020-08-14,90574,1771
0020-08-15,91698,1812
0020-08-16,92253,1829
0020-08-17,92944,1838
0020-08-18,93872,1875
0020-08-19,94676,1920
0020-08-20,95631,1953
0020-08-21,96658,1978
0020-08-22,97745,2011
0020-08-23,98506,2028
0020-08-24,99290,2030
0020-08-25,100171,2072
0020-08-26,101077,2106
0020-08-27,101670,2140
0020-08-28,103088,2153
0020-08-29,104649,2177
0020-08-30,105757,2188
0020-08-31,106595,2192
0020-09-01,107490,2208
0020-09-02,108085,2247
0020-09-03,108819,2281
0020-09-04,109834,2300
0020-09-05,110762,2327
0020-09-06,111525,2335
0020-09-07,111525,2335
0020-09-08,112039,2342
0020-09-09,112762,2363
0020-09-10,113504,2363
0020-09-11,114761,2395
0020-09-12,115149,2414
0020-09-13,116172,2420
0020-09-14,117568,2423
0020-09-15,120336,2440
0020-09-16,120771,2458
0020-09-17,121628,2470
0020-09-18,122445,2483
0020-09-19,123264,2498
0020-09-20,123817,2504
0020-09-21,137946,2505
0020-09-22,138473,2518
0020-09-23,139017,2535
0020-09-24,139681,2548
0020-09-25,140532,2555
0020-09-26,140868,2572
0020-09-27,141353,2576
0020-09-28,141707,2576
0020-09-29,142315,2588
0020-09-30,142681,2599
0020-10-01,143530,2607
0020-10-02,146234,2615
0020-10-03,147298,2624
0020-10-04,147808,2626
0020-10-05,148235,2628
0020-10-06,148769,2632
0020-10-07,149394,2647
0020-10-08,149771,2657
0020-10-09,150176,2668
0020-10-10,150626,2675
0020-10-11,151161,2682
0020-10-12,151463,2682
0020-10-13,151880,2689
0020-10-14,152623,2698
0020-10-15,152977,2708
0020-10-16,153571,2718
0020-10-17,153955,2726
0020-10-18,154367,2728
0020-10-19,154765,2729
0020-10-20,155192,2735
0020-10-21,156035,2750
0020-10-22,156742,2750
0020-10-23,157392,2759
0020-10-24,158379,2775
0020-10-25,158758,2783
0020-10-26,159272,2783
0020-10-27,159617,2785
0020-10-28,160532,2791
0020-10-29,160984,2800
0020-10-30,160984,2806
0020-10-31,161613,2809
0020-11-01,162306,2811
0020-11-02,163287,2814
0020-11-03,163845,2823
0020-11-04,164445,2841
0020-11-05,165252,2851
0020-11-06,165967,2854
0020-11-07,166545,2865
0020-11-08,167331,2866
0020-11-09,167956,2866
0020-11-10,168746,2871
0020-11-11,170835,2877
0020-11-12,171916,2895
0020-11-13,172763,2895
0020-11-14,173436,2908
0020-11-15,174493,2909
0020-11-16,175414,2910
0020-11-17,175959,2919
0020-11-18,177466,2928
0020-11-19,178811,2943
0020-11-20,179911,2954
0020-11-21,181361,2964
0020-11-22,182192,2965
0020-11-23,183252,2965
0020-11-24,185304,2974
0020-11-25,187163,2984
0020-11-26,187759,2992
0020-11-27,187867,2995
0020-11-28,187932,3001
0020-11-29,190631,3009
0020-11-30,191513,3009
0020-12-01,192127,3013
0020-12-02,193089,3023
0020-12-03,194899,3032
0020-12-04,195558,3046
0020-12-05,196658,3060
0020-12-06,198961,3067
0020-12-07,199597,3069
0020-12-08,200397,3086
0020-12-09,201496,3103
0020-12-10,202861,3110
0020-12-11,204850,3128
0020-12-12,205928,3142
0020-12-13,207406,3150
0020-12-14,208737,3150
0020-12-15,210362,3162
0020-12-16,212686,3178
0020-12-17,214180,3203
0020-12-18,215779,3215
0020-12-19,217086,3233
0020-12-20,219265,3242
0020-12-21,221860,3245
0020-12-22,222931,3260
0020-12-23,224245,3283
0020-12-24,225102,3306
0020-12-25,225365,3328
0020-12-26,225443,3328
0020-12-27,231707,3331
0020-12-28,233330,3332
0020-12-29,234736,3348
0020-12-30,236673,3371
0020-12-31,237727,3402
0021-01-01,239657,3417
0021-01-02,243059,3424
0021-01-03,245551,3431
0021-01-04,247458,3435
0021-01-05,249488,3453
0021-01-06,250854,3482
0021-01-07,253612,3522
0021-01-08,256046,3581
0021-01-09,259773,3581
0021-01-10,262525,3588
0021-01-11,266525,3591
0021-01-12,267729,3618
0021-01-13,269089,3658
0021-01-14,274899,3691
0021-01-15,278312,3723
0021-01-16,281422,3777
0021-01-17,284917,3792
0021-01-18,286356,3795
0021-01-19,287753,3825
0021-01-20,290249,3866
0021-01-21,293271,3898
0021-01-22,294266,3941
0021-01-23,296521,3978
0021-01-24,297629,4013
0021-01-25,301173,4024
0021-01-26,304333,4060
0021-01-27,306495,4111
0021-01-28,308902,4152
0021-01-29,311665,4196
0021-01-30,314697,4242
0021-01-31,317654,4257
0021-02-01,319800,4264
0021-02-02,320744,4314
0021-02-03,323408,4356
0021-02-04,325010,4410
0021-02-05,326248,4441
0021-02-06,327079,4488
0021-02-07,328426,4506
0021-02-08,329167,4520
0021-02-09,329576,4569
0021-02-10,330256,4607
0021-02-11,331837,4664
0021-02-12,333279,4702
0021-02-13,335673,4735
0021-02-14,337012,4753
0021-02-15,338274,4760
0021-02-16,338284,4760
0021-02-17,339366,4766
0021-02-18,339444,4771
0021-02-19,340559,4790
0021-02-20,340951,4829
0021-02-21,342309,4851
0021-02-22,343070,4858
0021-02-23,343573,4884
0021-02-24,344102,4933
0021-02-25,344898,4980
0021-02-26,348125,5019
0021-02-27,348848,5041
0021-02-28,350201,5075
0021-03-01,351063,5082
0021-03-02,353450,5110
0021-03-03,355065,5155
0021-03-04,356429,5212
0021-03-05,357558,5267
0021-03-06,358505,5296
0021-03-07,359382,5301
0021-03-08,359948,5304
0021-03-09,360421,5331
0021-03-10,360938,5370
0021-03-11,362716,5401
0021-03-12,363548,5440
0021-03-13,364613,5468
0021-03-14,365338,5487
0021-03-15,365513,5490
0021-03-16,366966,5505
0021-03-17,367775,5532
0021-03-18,368213,5562
0021-03-19,368908,5585
0021-03-20,369613,5601
0021-03-21,370223,5610
0021-03-22,370459,5625
0021-03-23,371161,5645
0021-03-24,371494,5677
0021-03-25,372071,5701
0021-03-26,372888,5727
0021-03-27,374152,5747
0021-03-28,374907,5758
0021-03-29,375809,5759
0021-03-30,376577,5778
0021-03-31,377152,5778
0021-04-01,377720,5826
0021-04-02,378299,5857
0021-04-03,379022,5877
0021-04-04,379461,5880
0021-04-05,379684,5880
0021-04-06,380297,5888
0021-04-07,380652,5908
0021-04-08,381221,5930
0021-04-09,381664,5955
0021-04-10,382209,5973
0021-04-11,382779,5975
0021-04-12,383325,5976
0021-04-13,383709,5990
0021-04-14,384358,6004
0021-04-15,384934,6024
0021-04-16,385448,6047
0021-04-17,385924,6059
0021-04-18,386436,6072
0021-04-19,386620,6076
0021-04-20,387012,6089
0021-04-21,387758,6102
0021-04-22,388423,6122
0021-04-23,388649,6133
0021-04-24,389731,6144
0021-04-25,390174,6150
0021-04-26,390547,6151
0021-04-27,391087,6167
0021-04-28,391438,6179
0021-04-29,391893,6192
0021-04-30,392200,6207
0021-05-01,392664,6212
0021-05-02,392976,6217
0021-05-03,393355,6218
0021-05-04,393587,6230
0021-05-05,393813,6242
0021-05-06,394167,6248
0021-05-07,394637,6262
0021-05-08,394997,6273
0021-05-09,395304,6275
0021-05-10,395522,6275
0021-05-11,395655,6286
0021-05-12,395975,6305
0021-05-13,395975,6313
0021-05-14,396143,6323
0021-05-15,396446,6330
0021-05-16,396552,6330
0021-05-17,396552,6333
0021-05-18,397046,6345
0021-05-19,397337,6357
0021-05-20,397578,6372
0021-05-21,397751,6379
0021-05-22,398013,6390
0021-05-23,398276,6392
0021-05-24,398573,6393
0021-05-25,399155,6405
0021-05-26,399390,6420
0021-05-27,399530,6423
0021-05-28,399829,6430
0021-05-29,400023,6436
0021-05-30,400293,6440
0021-05-31,400364,6441
0021-06-01,400436,6442
0021-06-02,400507,6450
0021-06-03,400692,6462
0021-06-04,401345,6469
0021-06-05,401469,6474
0021-06-06,401812,6480
0021-06-07,402148,6481
0021-06-08,402184,6487
0021-06-09,402387,6494
0021-06-10,402818,6497
0021-06-11,403038,6503
0021-06-12,403038,6503
0021-06-13,403188,6512
0021-06-14,403401,6513
0021-06-15,403496,6518
0021-06-16,403496,6525
0021-06-17,403151,6534
0021-06-18,402916,6540
0021-06-19,403069,6545
0021-06-20,403069,6548
0021-06-21,403035,6549
0021-06-22,403187,6551
0021-06-23,403187,6557
0021-06-24,403059,6563
0021-06-25,403134,6565
0021-06-26,403276,6573
0021-06-27,403276,6575
0021-06-28,403149,6575
0021-06-29,403149,6577
0021-06-30,403019,6583
0021-07-01,403205,6589
0021-07-02,403240,6595
0021-07-03,403512,6597
0021-07-04,403584,6600
0021-07-05,403645,6600
0021-07-06,403646,6602
0021-07-07,404402,6610
0021-07-08,404986,6613
0021-07-09,405327,6618
0021-07-10,405627,6622
0021-07-11,405757,6625
0021-07-12,405866,6625
0021-07-13,406271,6629
0021-07-14,406425,6638
0021-07-15,406703,6650
0021-07-16,406969,6653
0021-07-17,407616,6659
0021-07-18,407863,6659
0021-07-19,408097,6659
0021-07-20,408628,6660
0021-07-21,409418,6664
0021-07-22,411095,6669
0021-07-23,411554,6674
0021-07-24,412768,6680
0021-07-25,413022,6684
0021-07-26,413404,6684
0021-07-27,414098,6691
0021-07-28,414434,6700
0021-07-29,418911,6703
0021-07-30,423282,6717
0021-07-31,423779,6722
0021-08-01,425465,6726
0021-08-02,425862,6726
0021-08-03,427349,6729
0021-08-04,430218,6736
0021-08-05,431071,6739
0021-08-06,435023,6745
0021-08-07,439041,6755
0021-08-08,439649,6759
0021-08-09,440208,6762
0021-08-10,441301,6775
0021-08-11,445839,6784
0021-08-12,447115,6803
0021-08-13,450173,6829
0021-08-14,451746,6842
0021-08-15,454009,6847
0021-08-16,454416,6848
0021-08-17,457958,6863
0021-08-18,457958,6882
0021-08-19,461560,6914
0021-08-20,469361,6942
0021-08-21,478265,6979
0021-08-22,478845,6984
0021-08-23,479547,6986
0021-08-24,482046,7014
0021-08-25,485403,7056
0021-08-26,486701,7091
0021-08-27,488356,7119
0021-08-28,489357,7172
0021-08-29,490342,7184
0021-08-30,495842,7189
0021-08-31,497077,7220
0021-09-01,501798,7262
0021-09-02,503065,7311
0021-09-03,504493,7348
0021-09-04,509846,7384
0021-09-05,510333,7400
0021-09-06,511123,7405
0021-09-07,511277,7427
0021-09-08,513688,7467
0021-09-09,521211,7529
0021-09-10,522156,7579
0021-09-11,525128,7622
0021-09-12,526158,7636
0021-09-13,527150,7645
0021-09-14,530062,7678
0021-09-15,533598,7734
0021-09-16,536145,7779
0021-09-17,537385,7840
0021-09-18,538840,7878
0021-09-19,539494,7885
0021-09-20,540055,7889
0021-09-21,542092,7935
0021-09-22,542820,7993
0021-09-23,544029,8050
0021-09-24,547947,8115
0021-09-25,548746,8154
0021-09-26,550189,8166
0021-09-27,550674,8172
0021-09-28,551789,8201
0021-09-29,554336,8255
0021-09-30,555663,8296
0021-10-01,556159,8345
0021-10-02,558282,8392
0021-10-03,558618,8414
0021-10-04,558870,8419
0021-10-05,559950,8456
0021-10-06,561870,8502
0021-10-07,562902,8529
0021-10-08,563388,8529
0021-10-09,564413,8529
0021-10-10,564889,8529
0021-10-11,565088,8529
0021-10-12,565884,8529
0021-10-13,567578,8720
0021-10-14,568238,8758
0021-10-15,569187,8789
0021-10-16,569476,8820
0021-10-17,569900,8843
0021-10-18,570129,8845
0021-10-19,570517,8881
0021-10-20,570901,8915
0021-10-21,571827,8938
0021-10-22,572221,8972
0021-10-23,572797,9004
0021-10-24,573092,9021
0021-10-25,573159,9025
0021-10-26,573925,9037
