date,confirmed_total,deaths_total
0020-01-22,0,0
0020-01-23,0,0
0020-01-24,0,0
0020-01-25,0,0
0020-01-26,1,0
0020-01-27,1,0
0020-01-28,1,0
0020-01-29,1,0
0020-01-30,1,0
0020-01-31,1,0
0020-02-01,1,0
0020-02-02,1,0
0020-02-03,1,0
0020-02-04,1,0
0020-02-05,1,0
0020-02-06,1,0
0020-02-07,1,0
0020-02-08,1,0
0020-02-09,1,0
0020-02-10,1,0
0020-02-11,1,0
0020-02-12,1,0
0020-02-13,1,0
0020-02-14,1,0
0020-02-15,1,0
0020-02-16,1,0
0020-02-17,1,0
0020-02-18,1,0
0020-02-19,1,0
0020-02-20,1,0
0020-02-21,1,0
0020-02-22,1,0
0020-02-23,1,0
0020-02-24,1,0
0020-02-25,1,0
0020-02-26,1,0
0020-02-27,1,0
0020-02-28,1,0
0020-02-29,1,0
0020-03-01,1,0
0020-03-02,1,0
0020-03-03,1,0
0020-03-04,7,0
0020-03-05,11,0
0020-03-06,13,0
0020-03-07,14,0
0020-03-08,14,0
0020-03-09,14,0
0020-03-10,20,0
0020-03-11,27,1
0020-03-12,32,1
0020-03-13,40,1
0020-03-14,53,1
0020-03-15,53,1
0020-03-16,94,1
0020-03-17,144,1
0020-03-18,190,1
0020-03-19,231,2
0020-03-20,292,2
0020-03-21,292,2
0020-03-22,407,5
0020-03-23,536,7
0020-03-24,662,11
0020-03-25,812,13
0020-03-26,1229,21
0020-03-27,1465,26
0020-03-28,1465,26
0020-03-29,1829,32
0020-03-30,2474,44
0020-03-31,3019,54
0020-04-01,3518,64
0020-04-02,4045,78
0020-04-03,4566,89
0020-04-04,4605,93
0020-04-05,5955,132
0020-04-06,6377,147
0020-04-07,6936,169
0020-04-08,7559,198
0020-04-09,7955,223
0020-04-10,8443,242
0020-04-11,8453,244
0020-04-12,8894,269
0020-04-13,9433,322
0020-04-14,10047,360
0020-04-15,10517,405
0020-04-16,10854,457
0020-04-17,11400,497
0020-04-18,12021,576
0020-04-19,12341,600
0020-04-20,13823,619
0020-04-21,15153,663
0020-04-22,16447,732
0020-04-23,17537,797
0020-04-24,18545,850
0020-04-25,19133,895
0020-04-26,19567,916
0020-04-27,20423,944
0020-04-28,20996,1002
0020-04-29,22485,1056
0020-04-30,23220,1111
0020-05-01,24262,1174
0020-05-02,24894,1209
0020-05-03,25699,1231
0020-05-04,26225,1257
0020-05-05,27836,1315
0020-05-06,28665,1369
0020-05-07,29511,1418
0020-05-08,30319,1470
0020-05-09,31241,1515
0020-05-10,31703,1531
0020-05-11,32263,1570
0020-05-12,33211,1616
0020-05-13,34538,1660
0020-05-14,35392,1711
0020-05-15,36316,1753
0020-05-16,37360,1793
0020-05-17,38011,1821
0020-05-18,38458,1840
0020-05-19,39573,1913
0020-05-20,40895,1973
0020-05-21,42037,2016
0020-05-22,43070,2053
0020-05-23,44121,2092
0020-05-24,45017,2106
0020-05-25,46023,2116
0020-05-26,47845,2145
0020-05-27,48761,2201
0020-05-28,49860,2241
0020-05-29,51678,2294
0020-05-30,53746,2339
0020-05-31,55001,2362
0020-06-01,56011,2386
0020-06-02,57219,2448
0020-06-03,58261,2489
0020-06-04,59692,2532
0020-06-05,61068,2569
0020-06-06,62382,2624
0020-06-07,63844,2645
0020-06-08,64690,2656
0020-06-09,65945,2710
0020-06-10,67111,2768
0020-06-11,68959,2818
0020-06-12,70529,2834
0020-06-13,72057,2894
0020-06-14,73018,2907
0020-06-15,73832,2926
0020-06-16,75162,2960
0020-06-17,77260,2992
0020-06-18,78348,3027
0020-06-19,79655,3065
0020-06-20,81709,3112
0020-06-21,83414,3121
0020-06-22,86017,3137
0020-06-23,88512,3171
0020-06-24,89633,3207
0020-06-25,91577,3247
0020-06-26,93391,3269
0020-06-27,95385,3285
0020-06-28,97918,3305
0020-06-29,100958,3331
0020-06-30,103850,3371
0020-07-01,105665,3405
0020-07-02,107792,3457
0020-07-03,107806,3457
0020-07-04,107826,3457
0020-07-05,115024,3487
0020-07-06,116570,3534
0020-07-07,120764,3582
0020-07-08,123256,3643
0020-07-09,124992,3690
0020-07-10,127439,3744
0020-07-11,130394,3795
0020-07-12,133549,3809
0020-07-13,136357,3824
0020-07-14,140576,3897
0020-07-15,143207,3943
0020-07-16,147678,3989
0020-07-17,150424,4048
0020-07-18,153152,4084
0020-07-19,155917,4096
0020-07-20,159045,4104
0020-07-21,162025,4155
0020-07-22,165134,4215
0020-07-23,166868,4263
0020-07-24,168935,4300
0020-07-25,172325,4351
0020-07-26,174017,4360
0020-07-27,176028,4375
0020-07-28,178642,4426
0020-07-29,183456,4518
0020-07-30,186036,4559
0020-07-31,188541,4624
0020-08-01,190857,4669
0020-08-02,192177,4693
0020-08-03,193877,4702
0020-08-04,195805,4760
0020-08-05,198165,4827
0020-08-06,201200,4869
0020-08-07,204258,4919
0020-08-08,206778,4967
0020-08-09,208563,4977
0020-08-10,210543,4998
0020-08-11,210874,4999
0020-08-12,214283,5112
0020-08-13,214425,5113
0020-08-14,218831,5215
0020-08-15,220867,5246
0020-08-16,221971,5254
0020-08-17,223230,5273
0020-08-18,224105,5340
0020-08-19,225827,5392
0020-08-20,227346,5446
0020-08-21,229054,5491
0020-08-22,230662,5537
0020-08-23,231695,5545
0020-08-24,232893,5558
0020-08-25,233777,5605
0020-08-26,235386,5663
0020-08-27,236986,5701
0020-08-28,238458,5732
0020-08-29,239756,5759
0020-08-30,240749,5769
0020-08-31,241768,5784
0020-09-01,242521,5829
0020-09-02,243935,5878
0020-09-03,244999,5932
0020-09-04,246407,5977
0020-09-05,247542,6000
0020-09-06,248334,6005
0020-09-07,248821,6030
0020-09-08,249241,6036
0020-09-09,249859,6090
0020-09-10,251024,6128
0020-09-11,252066,6171
0020-09-12,253176,6197
0020-09-13,253985,6208
0020-09-14,254656,6231
0020-09-15,255049,6273
0020-09-16,256148,6303
0020-09-17,257271,6324
0020-09-18,258516,6330
0020-09-19,259817,6330
0020-09-20,260797,6353
0020-09-21,261446,6366
0020-09-22,262133,6401
0020-09-23,263333,6423
0020-09-24,264414,6455
0020-09-25,265775,6488
0020-09-26,266988,6504
0020-09-27,267801,6514
0020-09-28,268455,6515
0020-09-29,269284,6551
0020-09-30,270299,6576
0020-10-01,271371,6610
0020-10-02,272653,6626
0020-10-03,273638,6642
0020-10-04,274565,6647
0020-10-05,274942,6654
0020-10-06,275856,6681
0020-10-07,277445,6709
0020-10-08,278665,6726
0020-10-09,279909,6741
0020-10-10,281165,6768
0020-10-11,282135,6771
0020-10-12,282982,6773
0020-10-13,283750,6790
0020-10-14,285016,6812
0020-10-15,286183,6834
0020-10-16,287222,6855
0020-10-17,288136,6863
0020-10-18,288451,6876
0020-10-19,289366,6877
0020-10-20,290009,6912
0020-10-21,290486,6944
0020-10-22,294065,6956
0020-10-23,296821,6974
0020-10-24,298937,6989
0020-10-25,299760,6993
0020-10-26,300614,7000
0020-10-27,302077,7027
0020-10-28,303369,7040
0020-10-29,305070,7044
0020-10-30,306327,7056
0020-10-31,307618,7071
0020-11-01,309197,7074
0020-11-02,310606,7076
0020-11-03,311844,7097
0020-11-04,313606,7118
0020-11-05,315615,7140
0020-11-06,317696,7158
0020-11-07,319977,7170
0020-11-08,322219,7172
0020-11-09,323765,7177
0020-11-10,326034,7202
0020-11-11,328058,7218
0020-11-12,330514,7221
0020-11-13,332977,7246
0020-11-14,336671,7267
0020-11-15,339570,7269
0020-11-16,342489,7275
0020-11-17,344741,7300
0020-11-18,348536,7337
0020-11-19,353479,7365
0020-11-20,357637,7397
0020-11-21,362024,7429
0020-11-22,364583,7438
0020-11-23,370769,7456
0020-11-24,374479,7501
0020-11-25,378361,7543
0020-11-26,383275,7580
0020-11-27,387793,7604
0020-11-28,391225,7623
0020-11-29,395879,7639
0020-11-30,401448,7656
0020-12-01,409015,7702
0020-12-02,414549,7743
0020-12-03,422262,7787
0020-12-04,430824,7843
0020-12-05,440042,7886
0020-12-06,449971,7909
0020-12-07,458255,7936
0020-12-08,467189,8006
0020-12-09,475778,8077
0020-12-10,488519,8151
0020-12-11,502026,8202
0020-12-12,513283,8273
0020-12-13,525564,8298
0020-12-14,532730,8345
0020-12-15,544780,8438
0020-12-16,567249,8572
0020-12-17,581519,8671
0020-12-18,597386,8758
0020-12-19,610907,8822
0020-12-20,623792,8875
0020-12-21,636190,8935
0020-12-22,648062,9031
0020-12-23,665036,9165
0020-12-24,678040,9305
0020-12-25,678040,9305
0020-12-26,707463,9441
0020-12-27,719960,9485
0020-12-28,734860,9564
0020-12-29,746666,9806
0020-12-30,756840,10068
0020-12-31,771519,10359
0021-01-01,790582,10552
0021-01-02,807185,10688
0021-01-03,818698,10773
0021-01-04,829549,10852
0021-01-05,841392,11089
0021-01-06,853440,11349
0021-01-07,872204,11554
0021-01-08,889405,11863
0021-01-09,907077,12090
0021-01-10,920324,12252
0021-01-11,932901,12388
0021-01-12,947035,12706
0021-01-13,959156,12972
0021-01-14,976075,13244
0021-01-15,990632,13504
0021-01-16,1004693,13757
0021-01-17,1014753,13848
0021-01-18,1024297,13937
0021-01-19,1032806,14122
0021-01-20,1038738,14416
0021-01-21,1046591,14662
0021-01-22,1054802,14894
0021-01-23,1065505,15184
0021-01-24,1073156,15262
0021-01-25,1079672,15314
0021-01-26,1085488,15614
0021-01-27,1091712,15897
0021-01-28,1098411,16127
0021-01-29,1104720,16353
0021-01-30,1111391,16652
0021-01-31,1116948,16770
0021-02-01,1121107,16857
0021-02-02,1124975,17077
0021-02-03,1129730,17324
0021-02-04,1134595,17555
0021-02-05,1138970,17772
0021-02-06,1143591,17959
0021-02-07,1146483,18047
0021-02-08,1149346,18146
0021-02-09,1152430,18367
0021-02-10,1155491,18519
0021-02-11,1158794,18678
0021-02-12,1161926,18804
0021-02-13,1164880,18993
0021-02-14,1166552,19068
0021-02-15,1168372,19095
0021-02-16,1169688,19216
0021-02-17,1171865,19381
0021-02-18,1174340,19514
0021-02-19,1176843,19670
0021-02-20,1179149,19801
0021-02-21,1180505,19885
0021-02-22,1181469,19906
0021-02-23,1183496,20069
0021-02-24,1185559,20997
0021-02-25,1187542,21106
0021-02-26,1189232,21241
0021-02-27,1190894,21328
0021-02-28,1191923,21435
0021-03-01,1192954,21467
0021-03-02,1194333,21569
0021-03-03,1196017,21676
0021-03-04,1198178,21780
0021-03-05,1200128,21916
0021-03-06,1201868,22015
0021-03-07,1203152,22029
0021-03-08,1204018,22041
0021-03-09,1205327,22104
0021-03-10,1206740,22216
0021-03-11,1208024,22319
0021-03-12,1209849,22407
0021-03-13,1209661,22449
0021-03-14,1210270,22474
0021-03-15,1210663,22476
0021-03-16,1210961,22521
0021-03-17,1211739,22581
0021-03-18,1212648,22666
0021-03-19,1213288,22722
0021-03-20,1213792,22778
0021-03-21,1214178,22797
0021-03-22,1214754,22815
0021-03-23,1215179,22879
0021-03-24,1215772,22965
0021-03-25,1216319,23022
0021-03-26,1217116,23056
0021-03-27,1217775,23080
0021-03-28,1218229,23103
0021-03-29,1218643,23101
0021-03-30,1219029,23111
0021-03-31,1219614,23144
0021-04-01,1220256,23191
0021-04-02,1220893,23236
0021-04-03,1220893,23264
0021-04-04,1220893,23301
0021-04-05,1222479,23301
0021-04-06,1222802,23302
0021-04-07,1223205,23344
0021-04-08,1223821,23390
0021-04-09,1224547,23431
0021-04-10,1225299,23467
0021-04-11,1225796,23493
0021-04-12,1226219,23503
0021-04-13,1226627,23505
0021-04-14,1226964,23553
0021-04-15,1227537,23579
0021-04-16,1228118,23601
0021-04-17,1228641,23628
0021-04-18,1228997,23653
0021-04-19,1229328,23648
0021-04-20,1229641,23668
0021-04-21,1229998,23702
0021-04-22,1230398,23736
0021-04-23,1230398,23762
0021-04-24,1231186,23785
0021-04-25,1231532,23802
0021-04-26,1231838,23799
0021-04-27,1232131,23804
0021-04-28,1232391,23833
0021-04-29,1232751,23872
0021-04-30,1233091,23899
0021-05-01,1233505,23919
0021-05-02,1233772,23946
0021-05-03,1233998,23943
0021-05-04,1234242,23942
0021-05-05,1234242,23957
0021-05-06,1234746,23977
0021-05-07,1235150,23991
0021-05-08,1235422,24008
0021-05-09,1235651,24022
0021-05-10,1235828,24026
0021-05-11,1235999,24030
0021-05-12,1236256,24048
0021-05-13,1236456,24067
0021-05-14,1237021,24083
0021-05-15,1237273,24101
0021-05-16,1237411,24115
0021-05-17,1237561,24120
0021-05-18,1237700,24123
0021-05-19,1237910,24133
0021-05-20,1238147,24143
0021-05-21,1238382,24168
0021-05-22,1238607,24180
0021-05-23,1238781,24192
0021-05-24,1238932,24197
0021-05-25,1239127,24201
0021-05-26,1239306,24212
0021-05-27,1243338,24323
0021-05-28,1243531,24348
0021-05-29,1243712,24357
0021-05-30,1243882,24359
0021-05-31,1244054,24360
0021-06-01,1244170,24364
0021-06-02,1244275,24367
0021-06-03,1244473,24375
0021-06-04,1244684,24386
0021-06-05,1244917,24400
0021-06-06,1245120,24411
0021-06-07,1245254,24410
0021-06-08,1245429,24413
0021-06-09,1245588,24426
0021-06-10,1245786,24432
0021-06-11,1245949,24440
0021-06-12,1246123,24434
0021-06-13,1246129,24434
0021-06-14,1246436,24433
0021-06-15,1246640,24434
0021-06-16,1246832,24435
0021-06-17,1247033,24439
0021-06-18,1247033,24444
0021-06-19,1247361,24451
0021-06-20,1247618,24454
0021-06-21,1247744,24456
0021-06-22,1247909,24459
0021-06-23,1248161,24461
0021-06-24,1248415,24472
0021-06-25,1248737,24480
0021-06-26,1249065,24483
0021-06-27,1249304,24490
0021-06-28,1249572,24493
0021-06-29,1249875,24496
0021-06-30,1250240,24498
0021-07-01,1250740,24499
0021-07-02,1251259,24506
0021-07-03,1251848,24506
0021-07-04,1252303,24506
0021-07-05,1252739,24506
0021-07-06,1253106,24522
0021-07-07,1253536,24525
0021-07-08,1254386,24531
0021-07-09,1255434,24542
0021-07-10,1256557,24542
0021-07-11,1257628,24542
0021-07-12,1258685,24558
0021-07-13,1259992,24559
0021-07-14,1261068,24569
0021-07-15,1261164,24578
0021-07-16,1264450,24582
0021-07-17,1266227,24582
0021-07-18,1267860,24583
0021-07-19,1267860,24598
0021-07-20,1271179,24600
0021-07-21,1273551,24603
0021-07-22,1276254,24609
0021-07-23,1276254,24623
0021-07-24,1281760,24624
0021-07-25,1283844,24628
0021-07-26,1285771,24643
0021-07-27,1288090,24647
0021-07-28,1290395,24658
0021-07-29,1293583,24677
0021-07-30,1297087,24691
0021-07-31,1300313,24691
0021-08-01,1303343,24691
0021-08-02,1305704,24700
0021-08-03,1307970,24705
0021-08-04,1311656,24721
0021-08-05,1315677,24740
0021-08-06,1319492,24756
0021-08-07,1323345,24772
0021-08-08,1326361,24786
0021-08-09,1329537,24793
0021-08-10,1332289,24806
0021-08-11,1335332,24833
0021-08-12,1339138,24854
0021-08-13,1342839,24874
0021-08-14,1347023,24892
0021-08-15,1350370,24911
0021-08-16,1353071,24918
0021-08-17,1356249,24935
0021-08-18,1359897,24967
0021-08-19,1362848,25002
0021-08-20,1376551,25032
0021-08-21,1380415,25061
0021-08-22,1383186,25080
0021-08-23,1385784,25089
0021-08-24,1388672,25117
0021-08-25,1391513,25152
0021-08-26,1394632,25182
0021-08-27,1397480,25214
0021-08-28,1400837,25240
0021-08-29,1403053,25245
0021-08-30,1405387,25263
0021-08-31,1407317,25284
0021-09-01,1409684,25326
0021-09-02,1412379,25366
0021-09-03,1414854,25401
0021-09-04,1416919,25434
0021-09-05,1419030,25454
0021-09-06,1420560,25465
0021-09-07,1421616,25477
0021-09-08,1423620,25514
0021-09-09,1423620,25533
0021-09-10,1427817,25611
0021-09-11,1427817,25630
0021-09-12,1427817,25630
0021-09-13,1433465,25688
0021-09-14,1435163,25713
0021-09-15,1437073,25748
0021-09-16,1439011,25775
0021-09-17,1440721,25799
0021-09-18,1442808,25828
0021-09-19,1444127,25849
0021-09-20,1445121,25852
0021-09-21,1446348,25870
0021-09-22,1448065,25911
0021-09-23,1449923,25942
0021-09-24,1451438,25972
0021-09-25,1452998,25999
0021-09-26,1454172,26013
0021-09-27,1455155,26035
0021-09-28,1456275,26047
0021-09-29,1457672,26078
0021-09-30,1459182,26106
0021-10-01,1460645,26126
0021-10-02,1462013,26143
0021-10-03,1463039,26153
0021-10-04,1463889,26179
0021-10-05,1464793,26195
0021-10-06,1466248,26226
0021-10-07,1467450,26254
0021-10-08,1468634,26284
0021-10-09,1469790,26308
0021-10-10,1470829,26312
0021-10-11,1471645,26338
0021-10-12,1472419,26346
0021-10-13,1473410,26362
0021-10-14,1473410,26379
0021-10-15,1475694,26398
0021-10-16,1475694,26398
0021-10-17,1476791,26410
0021-10-18,1477686,26443
0021-10-19,1479421,26446
0021-10-20,1480656,26473
0021-10-21,1481814,26506
0021-10-22,1483031,26527
0021-10-23,1484192,26540
0021-10-24,1485105,26549
0021-10-25,1485769,26552
0021-10-26,1486614,26579
