date,confirmed_total,deaths_total
0020-01-22,0,0
0020-01-23,0,0
0020-01-24,0,0
0020-01-25,0,0
0020-01-26,1,0
0020-01-27,1,0
0020-01-28,1,0
0020-01-29,1,0
0020-01-30,1,0
0020-01-31,1,0
0020-02-01,1,0
0020-02-02,1,0
0020-02-03,1,0
0020-02-04,1,0
0020-02-05,1,0
0020-02-06,1,0
0020-02-07,1,0
0020-02-08,1,0
0020-02-09,1,0
0020-02-10,1,0
0020-02-11,1,0
0020-02-12,1,0
0020-02-13,1,0
0020-02-14,1,0
0020-02-15,1,0
0020-02-16,1,0
0020-02-17,1,0
0020-02-18,1,0
0020-02-19,1,0
0020-02-20,1,0
0020-02-21,1,0
0020-02-22,1,0
0020-02-23,1,0
0020-02-24,1,0
0020-02-25,1,0
0020-02-26,1,0
0020-02-27,1,0
0020-02-28,1,0
0020-02-29,1,0
0020-03-01,1,0
0020-03-02,1,0
0020-03-03,1,0
0020-03-04,1,0
0020-03-05,1,0
0020-03-06,2,0
0020-03-07,2,0
0020-03-08,2,0
0020-03-09,2,0
0020-03-10,2,0
0020-03-11,3,0
0020-03-12,3,0
0020-03-13,3,0
0020-03-14,4,0
0020-03-15,4,0
0020-03-16,8,0
0020-03-17,9,0
0020-03-18,11,0
0020-03-19,22,0
0020-03-20,34,0
0020-03-21,49,1
0020-03-22,81,2
0020-03-23,139,2
0020-03-24,199,2
0020-03-25,251,2
0020-03-26,299,2
0020-03-27,399,5
0020-03-28,454,5
0020-03-29,545,5
0020-03-30,690,5
0020-03-31,788,5
0020-04-01,871,5
0020-04-02,961,12
0020-04-03,1049,12
0020-04-04,1171,28
0020-04-05,1326,31
0020-04-06,1433,31
0020-04-07,1495,35
0020-04-08,1559,37
0020-04-09,1689,39
0020-04-10,1741,39
0020-04-11,1891,47
0020-04-12,1960,47
0020-04-13,2020,52
0020-04-14,2056,54
0020-04-15,2146,60
0020-04-16,2264,64
0020-04-17,2404,69
0020-04-18,2491,70
0020-04-19,2589,75
0020-04-20,2636,75
0020-04-21,2738,83
0020-04-22,2846,97
0020-04-23,2970,115
0020-04-24,3116,120
0020-04-25,3234,121
0020-04-26,3359,122
0020-04-27,3457,122
0020-04-28,3578,122
0020-04-29,3723,140
0020-04-30,3972,145
0020-05-01,4156,147
0020-05-02,4421,147
0020-05-03,4585,147
0020-05-04,4751,147
0020-05-05,4929,175
0020-05-06,5138,186
0020-05-07,5196,204
0020-05-08,5525,238
0020-05-09,5779,245
0020-05-10,5827,247
0020-05-11,5988,250
0020-05-12,6219,259
0020-05-13,6341,281
0020-05-14,6599,292
0020-05-15,6821,302
0020-05-16,7096,319
0020-05-17,7240,319
0020-05-18,7340,324
0020-05-19,7482,339
0020-05-20,7644,357
0020-05-21,7835,361
0020-05-22,7950,368
0020-05-23,8177,383
0020-05-24,8277,384
0020-05-25,8379,385
0020-05-26,8448,384
0020-05-27,8627,397
0020-05-28,8896,403
0020-05-29,9112,419
0020-05-30,9522,430
0020-05-31,9815,432
0020-06-01,9937,433
0020-06-02,10536,448
0020-06-03,11068,466
0020-06-04,11229,471
0020-06-05,12091,479
0020-06-06,12761,489
0020-06-07,13498,490
0020-06-08,14003,491
0020-06-09,14374,504
0020-06-10,15282,519
0020-06-11,16018,532
0020-06-12,17010,536
0020-06-13,17791,549
0020-06-14,18692,551
0020-06-15,19372,557
0020-06-16,20775,568
0020-06-17,22272,579
0020-06-18,23880,598
0020-06-19,25999,615
0020-06-20,28303,633
0020-06-21,30136,632
0020-06-22,31650,634
0020-06-23,33883,663
0020-06-24,34992,690
0020-06-25,37135,694
0020-06-26,39626,718
0020-06-27,42374,741
0020-06-28,44962,746
0020-06-29,45178,746
0020-06-30,48592,771
0020-07-01,52266,817
0020-07-02,54757,843
0020-07-03,57929,865
0020-07-04,59829,880
0020-07-05,62296,883
0020-07-06,64915,881
0020-07-07,67543,933
0020-07-08,70128,959
0020-07-09,73165,1012
0020-07-10,76328,1049
0020-07-11,78481,1093
0020-07-12,80146,1133
0020-07-13,81216,1140
0020-07-14,84233,1198
0020-07-15,86483,1277
0020-07-16,88954,1311
0020-07-17,91863,1374
0020-07-18,93870,1444
0020-07-19,95471,1473
0020-07-20,96711,1485
0020-07-21,98988,1556
0020-07-22,100543,1599
0020-07-23,102247,1651
0020-07-24,104613,1718
0020-07-25,107291,1793
0020-07-26,108677,1808
0020-07-27,109988,1807
0020-07-28,111446,1882
0020-07-29,113148,1915
0020-07-30,114852,2011
0020-07-31,117293,2054
0020-08-01,119295,2089
0020-08-02,120279,2101
0020-08-03,120960,2108
0020-08-04,121789,2153
0020-08-05,123082,2204
0020-08-06,124022,2259
0020-08-07,124924,2307
0020-08-08,125545,2347
0020-08-09,126053,2353
0020-08-10,126371,2356
0020-08-11,126791,2382
0020-08-12,127188,2493
0020-08-13,127768,2517
0020-08-14,128352,2536
0020-08-15,128865,2585
0020-08-16,129385,2596
0020-08-17,129562,2596
0020-08-18,129958,2612
0020-08-19,130384,2697
0020-08-20,130800,2739
0020-08-21,131166,2743
0020-08-22,131685,2776
0020-08-23,131787,2790
0020-08-24,131962,2790
0020-08-25,132290,2804
0020-08-26,132434,2869
0020-08-27,132704,2896
0020-08-28,132986,2924
0020-08-29,133389,2950
0020-08-30,133641,2962
0020-08-31,133728,2961
0020-09-01,134004,2976
0020-09-02,134346,2995
0020-09-03,135109,3030
0020-09-04,135495,3064
0020-09-05,135856,3088
0020-09-06,135964,3093
0020-09-07,136004,3091
0020-09-08,136040,3093
0020-09-09,136324,3116
0020-09-10,136571,3133
0020-09-11,136887,3140
0020-09-12,137292,3158
0020-09-13,137507,3154
0020-09-14,137589,3154
0020-09-15,137870,3172
0020-09-16,138151,3197
0020-09-17,139051,3210
0020-09-18,139245,3245
0020-09-19,139586,3259
0020-09-20,139856,3261
0020-09-21,140006,3262
0020-09-22,140314,3275
0020-09-23,140409,3304
0020-09-24,140584,3329
0020-09-25,140753,3343
0020-09-26,140963,3363
0020-09-27,141211,3363
0020-09-28,141377,3364
0020-09-29,141738,3372
0020-09-30,141856,3392
0020-10-01,142287,3405
0020-10-02,142566,3416
0020-10-03,142968,3424
0020-10-04,143183,3426
0020-10-05,143411,3427
0020-10-06,143917,3431
0020-10-07,144342,3450
0020-10-08,144867,3454
0020-10-09,145298,3458
0020-10-10,145847,3466
0020-10-11,146278,3466
0020-10-12,146574,3466
0020-10-13,147010,3471
0020-10-14,147551,3475
0020-10-15,148152,3489
0020-10-16,148612,3500
0020-10-17,149202,3512
0020-10-18,149720,3510
0020-10-19,150280,3512
0020-10-20,150881,3519
0020-10-21,151527,3532
0020-10-22,152101,3536
0020-10-23,152695,3536
0020-10-24,153177,3538
0020-10-25,154182,3540
0020-10-26,154722,3541
0020-10-27,155458,3557
0020-10-28,155951,3559
0020-10-29,156736,3566
0020-10-30,157728,3577
0020-10-31,158761,3606
0020-11-01,159781,3606
0020-11-02,160184,3609
0020-11-03,161154,3632
0020-11-04,161588,3658
0020-11-05,162958,3672
0020-11-06,164269,3682
0020-11-07,165702,3699
0020-11-08,166850,3709
0020-11-09,167063,3709
0020-11-10,169091,3728
0020-11-11,170207,3747
0020-11-12,170842,3759
0020-11-13,172864,3774
0020-11-14,174957,3797
0020-11-15,176204,3798
0020-11-16,176993,3798
0020-11-17,178639,3809
0020-11-18,180608,3837
0020-11-19,183177,3850
0020-11-20,185580,3878
0020-11-21,187636,3890
0020-11-22,190034,3896
0020-11-23,191503,3896
0020-11-24,194410,3922
0020-11-25,196849,3927
0020-11-26,198822,3955
0020-11-27,201340,3966
0020-11-28,203663,3974
0020-11-29,205332,3977
0020-11-30,205658,3982
0020-12-01,213121,4010
0020-12-02,215386,4036
0020-12-03,218935,4080
0020-12-04,222218,4119
0020-12-05,225782,4131
0020-12-06,228312,4153
0020-12-07,228486,4153
0020-12-08,236818,4161
0020-12-09,239417,4213
0020-12-10,241880,4244
0020-12-11,245671,4299
0020-12-12,250319,4324
0020-12-13,253686,4353
0020-12-14,260661,4353
0020-12-15,263191,4381
0020-12-16,266196,4447
0020-12-17,269744,4542
0020-12-18,274026,4610
0020-12-19,277071,4661
0020-12-20,279885,4684
0020-12-21,284462,4685
0020-12-22,287646,4754
0020-12-23,291412,4781
0020-12-24,295379,4833
0020-12-25,299056,4892
0020-12-26,302640,4906
0020-12-27,302707,4907
0020-12-28,309737,4948
0020-12-29,311242,5027
0020-12-30,314464,5051
0020-12-31,318827,5110
0021-01-01,325404,5196
0021-01-02,331233,5239
0021-01-03,342994,5239
0021-01-04,346183,5241
0021-01-05,349852,5346
0021-01-06,354810,5416
0021-01-07,360707,5575
0021-01-08,367856,5695
0021-01-09,374740,5767
0021-01-10,382409,5818
0021-01-11,388518,5823
0021-01-12,393732,6012
0021-01-13,397208,6115
0021-01-14,401855,6212
0021-01-15,407631,6320
0021-01-16,413282,6437
0021-01-17,417839,6444
0021-01-18,421551,6443
0021-01-19,425844,6443
0021-01-20,428624,6548
0021-01-21,434337,6683
0021-01-22,439743,6806
0021-01-23,444431,6891
0021-01-24,449162,6950
0021-01-25,452925,6951
0021-01-26,455830,7053
0021-01-27,459501,7174
0021-01-28,462580,7271
0021-01-29,465875,7375
0021-01-30,469294,7442
0021-01-31,472760,7462
0021-02-01,475261,7462
0021-02-02,477026,7559
0021-02-03,478354,7672
0021-02-04,481291,7767
0021-02-05,483775,7885
0021-02-06,486059,7935
0021-02-07,487042,7971
0021-02-08,488687,7979
0021-02-09,491511,8094
0021-02-10,492996,8209
0021-02-11,494345,8306
0021-02-12,496037,8414
0021-02-13,497074,8478
0021-02-14,498297,8505
0021-02-15,499105,8505
0021-02-16,499865,8505
0021-02-17,500631,8559
0021-02-18,501214,8676
0021-02-19,502454,8765
0021-02-20,503686,8816
0021-02-21,504992,8835
0021-02-22,506046,8833
0021-02-23,506662,8909
0021-02-24,507480,8938
0021-02-25,507951,9000
0021-02-26,508997,9061
0021-02-27,509683,9107
0021-02-28,510360,9117
0021-03-01,511055,9116
0021-03-02,511636,9152
0021-03-03,512286,9172
0021-03-04,513035,9223
0021-03-05,514132,9286
0021-03-06,515211,9314
0021-03-07,516216,9316
0021-03-08,516720,9316
0021-03-09,517132,9312
0021-03-10,517726,9368
0021-03-11,519285,9393
0021-03-12,520291,9428
0021-03-13,520193,9432
0021-03-14,520487,9437
0021-03-15,520861,9437
0021-03-16,521093,9447
0021-03-17,521251,9449
0021-03-18,520784,9488
0021-03-19,520919,9512
0021-03-20,521072,9534
0021-03-21,521233,9544
0021-03-22,521585,9544
0021-03-23,521908,9571
0021-03-24,522323,9601
0021-03-25,522285,9619
0021-03-26,522624,9630
0021-03-27,523088,9640
0021-03-28,523424,9644
0021-03-29,523808,9644
0021-03-30,524077,9657
0021-03-31,524386,9673
0021-04-01,524547,9677
0021-04-02,525002,9670
0021-04-03,525361,9663
0021-04-04,525666,9668
0021-04-05,526070,9668
0021-04-06,526415,9670
0021-04-07,526890,9694
0021-04-08,527197,9711
0021-04-09,527566,9716
0021-04-10,528065,9733
0021-04-11,528377,9728
0021-04-12,528888,9728
0021-04-13,529271,9739
0021-04-14,529471,9741
0021-04-15,529722,9750
0021-04-16,530405,9769
0021-04-17,530598,9766
0021-04-18,531156,9767
0021-04-19,531673,9767
0021-04-20,532133,9787
0021-04-21,532522,9788
0021-04-22,532809,9803
0021-04-23,533368,9813
0021-04-24,533916,9829
0021-04-25,534430,9836
0021-04-26,534982,9836
0021-04-27,535436,9840
0021-04-28,535862,9847
0021-04-29,536453,9860
0021-04-30,537105,9875
0021-05-01,537899,9876
0021-05-02,538124,9882
0021-05-03,538633,9882
0021-05-04,539080,9886
0021-05-05,539632,9889
0021-05-06,539926,9896
0021-05-07,540547,9910
0021-05-08,541202,9919
0021-05-09,541555,9922
0021-05-10,542072,9922
0021-05-11,542486,9932
0021-05-12,542856,9934
0021-05-13,543198,9940
0021-05-14,543928,9947
0021-05-15,544255,9950
0021-05-16,544676,9950
0021-05-17,545051,9955
0021-05-18,545468,9963
0021-05-19,545875,9974
0021-05-20,546247,9985
0021-05-21,546516,9999
0021-05-22,547035,10010
0021-05-23,547298,10017
0021-05-24,547645,10017
0021-05-25,548006,10022
0021-05-26,548519,10031
0021-05-27,549042,10043
0021-05-28,549729,10052
0021-05-29,550067,10069
0021-05-30,550067,10071
0021-05-31,550599,10071
0021-06-01,550602,10071
0021-06-02,551298,10080
0021-06-03,551509,10084
0021-06-04,551710,10092
0021-06-05,551998,10111
0021-06-06,552494,10112
0021-06-07,552781,10112
0021-06-08,553072,10120
0021-06-09,553476,10122
0021-06-10,553711,10137
0021-06-11,553957,10137
0021-06-12,554368,10150
0021-06-13,554636,10157
0021-06-14,554925,10157
0021-06-15,555223,10162
0021-06-16,555530,10172
0021-06-17,555683,10187
0021-06-18,555891,10193
0021-06-19,556507,10219
0021-06-20,556844,10224
0021-06-21,557146,10224
0021-06-22,557363,10234
0021-06-23,557651,10238
0021-06-24,558068,10243
0021-06-25,558490,10261
0021-06-26,558730,10269
0021-06-27,559045,10268
0021-06-28,559345,10268
0021-06-29,559688,10276
0021-06-30,560181,10280
0021-07-01,560446,10282
0021-07-02,560728,10294
0021-07-03,561211,10305
0021-07-04,561595,10309
0021-07-05,561596,10309
0021-07-06,562308,10317
0021-07-07,562492,10321
0021-07-08,562778,10321
0021-07-09,563400,10327
0021-07-10,563897,10339
0021-07-11,564534,10341
0021-07-12,564619,10341
0021-07-13,564664,10349
0021-07-14,566087,10370
0021-07-15,566729,10375
0021-07-16,567576,10381
0021-07-17,567576,10381
0021-07-18,569149,10388
0021-07-19,569899,10388
0021-07-20,570595,10383
0021-07-21,571278,10393
0021-07-22,572062,10403
0021-07-23,573082,10408
0021-07-24,574129,10416
0021-07-25,575306,10415
0021-07-26,576443,10415
0021-07-27,577342,10422
0021-07-28,578218,10421
0021-07-29,579331,10435
0021-07-30,580692,10446
0021-07-31,582153,10456
0021-08-01,584002,10461
0021-08-02,585497,10462
0021-08-03,586764,10480
0021-08-04,588243,10485
0021-08-05,589851,10496
0021-08-06,591728,10518
0021-08-07,593628,10543
0021-08-08,595609,10546
0021-08-09,597401,10546
0021-08-10,598994,10552
0021-08-11,600368,10556
0021-08-12,602308,10561
0021-08-13,604387,10575
0021-08-14,606753,10587
0021-08-15,608999,10588
0021-08-16,610724,10588
0021-08-17,612357,10589
0021-08-18,613962,10612
0021-08-19,616348,10614
0021-08-20,618457,10646
0021-08-21,620675,10666
0021-08-22,623001,10666
0021-08-23,625004,10666
0021-08-24,626874,10694
0021-08-25,626874,10694
0021-08-26,631156,10705
0021-08-27,633745,10748
0021-08-28,636162,10777
0021-08-29,637752,10780
0021-08-30,640002,10780
0021-08-31,640037,10779
0021-09-01,643584,10815
0021-09-02,645864,10831
0021-09-03,648475,10880
0021-09-04,650663,10896
0021-09-05,653015,10897
0021-09-06,654651,10897
0021-09-07,656093,10927
0021-09-08,657412,10943
0021-09-09,659003,10992
0021-09-10,660932,10995
0021-09-11,663073,11013
0021-09-12,665118,11016
0021-09-13,666798,11016
0021-09-14,668223,11075
0021-09-15,669874,11085
0021-09-16,671558,11110
0021-09-17,673511,11126
0021-09-18,675252,11198
0021-09-19,676985,11224
0021-09-20,678421,11223
0021-09-21,679482,11254
0021-09-22,680491,11278
0021-09-23,682553,11321
0021-09-24,684566,11324
0021-09-25,686516,11366
0021-09-26,688491,11371
0021-09-27,689931,11371
0021-09-28,690451,11418
0021-09-29,692629,11435
0021-09-30,694359,11453
0021-10-01,696815,11493
0021-10-02,698680,11551
0021-10-03,700319,11558
0021-10-04,701787,11558
0021-10-05,703008,11598
0021-10-06,704461,11626
0021-10-07,706046,11641
0021-10-08,707687,11670
0021-10-09,709285,11695
0021-10-10,710633,11729
0021-10-11,711742,11729
0021-10-12,712879,11770
0021-10-13,714404,11778
0021-10-14,715923,11781
0021-10-15,717366,11816
0021-10-16,718831,11827
0021-10-17,718831,11827
0021-10-18,718831,11827
0021-10-19,722204,11922
0021-10-20,723410,11968
0021-10-21,724731,12000
0021-10-22,726642,12027
0021-10-23,728245,12041
0021-10-24,729247,12047
0021-10-25,729320,12047
0021-10-26,729597,12092
