date,confirmed_total,recovered_total,deaths_total,infective
2020-01-22,1,0,0,1
2020-01-23,1,0,0,1
2020-01-24,2,0,0,2
2020-01-25,2,0,0,2
2020-01-26,5,0,0,5
2020-01-27,5,0,0,5
2020-01-28,5,0,0,5
2020-01-29,6,0,0,6
2020-01-30,6,0,0,6
2020-01-31,8,0,0,8
2020-02-01,8,0,0,8
2020-02-02,8,0,0,8
2020-02-03,11,0,0,11
2020-02-04,11,0,0,11
2020-02-05,11,0,0,11
2020-02-06,12,0,0,12
2020-02-07,12,0,0,12
2020-02-08,12,0,0,12
2020-02-09,12,3,0,9
2020-02-10,12,3,0,9
2020-02-11,13,3,0,10
2020-02-12,13,3,0,10
2020-02-13,14,3,0,11
2020-02-14,14,3,0,11
2020-02-15,14,3,0,11
2020-02-16,14,3,0,11
2020-02-17,14,3,0,11
2020-02-18,14,3,0,11
2020-02-19,14,3,0,11
2020-02-20,14,3,0,11
2020-02-21,16,5,0,11
2020-02-22,16,5,0,11
2020-02-23,16,5,0,11
2020-02-24,16,5,0,11
2020-02-25,16,6,0,10
2020-02-26,16,6,0,10
2020-02-27,17,6,0,11
2020-02-28,17,7,0,10
2020-02-29,25,7,1,17
2020-03-01,32,7,1,24
2020-03-02,55,7,6,42
2020-03-03,74,7,7,60
2020-03-04,107,7,11,89
2020-03-05,184,7,12,165
2020-03-06,237,7,14,216
2020-03-07,403,7,17,379
2020-03-08,519,7,21,491
2020-03-09,594,7,22,565
2020-03-10,782,8,28,746
2020-03-11,1147,8,33,1106
2020-03-12,1586,12,43,1531
2020-03-13,2219,12,51,2156
2020-03-14,2978,12,58,2908
2020-03-15,3212,12,70,3130
2020-03-16,4679,17,97,4565
2020-03-17,6512,17,134,6361
2020-03-18,9169,105,194,8870
2020-03-19,13663,121,266,13276
2020-03-20,20030,147,372,19511
2020-03-21,26025,176,475,25374
2020-03-22,34944,178,603,34163
2020-03-23,46096,178,790,45128
2020-03-24,56714,348,1033,55333
2020-03-25,68841,361,1366,67114
2020-03-26,86662,681,1783,84198
2020-03-27,105253,869,2305,102079
2020-03-28,127417,1072,3018,123327
2020-03-29,143544,2665,3573,137306
2020-03-30,165698,5644,4280,155774
2020-03-31,192079,7024,5359,179696
2020-04-01,224281,8474,6635,209172
2020-04-02,256626,9001,8146,239479
2020-04-03,288993,9707,9566,269720
2020-04-04,321379,14652,11172,295555
2020-04-05,350713,17448,12790,320475
2020-04-06,382646,19581,14523,348542
2020-04-07,413222,21763,17099,374360
2020-04-08,444341,23559,19250,401532
2020-04-09,480413,25410,21463,433540
2020-04-10,514690,28790,23649,462251
2020-04-11,543878,31270,25790,486818
2020-04-12,570812,32988,27679,510145
2020-04-13,597803,43482,29657,524664
2020-04-14,626217,47763,32132,546322
2020-04-15,652179,52096,34719,565364
2020-04-16,682442,54703,36908,590831
2020-04-17,715446,58545,39007,617894
2020-04-18,743379,64840,40951,637588
2020-04-19,769251,70337,42934,655980
2020-04-20,799039,72329,45179,681531
2020-04-21,825257,75204,47662,702391
2020-04-22,854328,77366,50119,726843
2020-04-23,887581,80203,52543,754835
2020-04-24,919920,99079,54712,766129
2020-04-25,950298,100372,56444,793482
2020-04-26,976871,106988,57850,812033
2020-04-27,1000666,111424,59330,829912
2020-04-28,1025354,115936,61571,847847
2020-04-29,1051785,120720,63962,867103
2020-04-30,1080942,153947,66154,860841
2020-05-01,1115844,164015,68063,883766
2020-05-02,1143248,175382,69804,898062
2020-05-03,1167577,180152,71007,916418
2020-05-04,1191815,187180,72365,932270
2020-05-05,1216263,189791,74586,951886
2020-05-06,1240643,189910,76905,973828
2020-05-07,1268262,195036,78822,994404
2020-05-08,1295396,198993,80594,1015809
